	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201755111803	ダ	右	1300	曇	良	12:00	C2ー23組		2017-11-18	15	佐賀	1	(馬齢)		9.0	250.0	1.0	9.0	110	1.0	5.0	170.0	3.0	4.0	240	4.0	5-9	1330.0	3.0	5-9	300	2.0	4-9	490	3.0	4-5	670	7.0	9=>5	1320.0	3.0	4-5-9	2220.0	8.0	9=>5=>4	9060.0	20.0	5911162478103.0	5911124678103.0	5911142678103.0	5914112786103.0			5-7	1430.0	5.0
201755111804	ダ	右	1300	曇	良	12:30	C2ー22組		2017-11-18	15	佐賀	1	(馬齢)		3.0	120.0	1.0	3.0	100	1.0	4.0	200.0	4.0	5.0	150	2.0	3-4	290.0	1.0	3-4	130	1.0	3-5	180	2.0	4-5	290	5.0	3=>4	300.0	1.0	3-4-5	490.0	1.0	3=>4=>5	850.0	1.0	3485101129671.0	3485102911176.0	3458109211176.0	3458109211167.0			3-4	260.0	1.0
201755111805	ダ	右	1400	曇	良	13:00	C2ー19組		2017-11-18	15	佐賀	1	(馬齢)		1.0	3610.0	7.0	1.0	350	5.0	2.0	130.0	2.0	8.0	140	3.0	1-2	2920.0	11.0	1-2	730	9.0	1-8	1,280	15.0	2-8	310	3.0	1=>2	9070.0	26.0	1-2-8	3820.0	10.0	1=>2=>8	54560.0	139.0	8131025974116.0	8110235746911.0	8110273456911.0	8121074536911.0			1-2	4980.0	14.0
201755111806	ダ	右	1400	曇	良	13:30	2歳ー2組		2017-11-18	15	佐賀	1	(馬齢)		11.0	350.0	2.0	11.0	100	1.0	12.0	100.0	3.0	7.0	100	2.0	11-12	340.0	1.0	11-12	190	2.0	7-11	240	3.0	7-12	160	1.0	11=>12	810.0	2.0	7-11-12	260.0	1.0	11=>12=>7	1500.0	3.0	111122756910384.0	111122756109384.0	111271251069384.0	111275210693481.0			8-8	520.0	2.0
201755111807	ダ	右	1400	曇	良	14:00	C2ー17組		2017-11-18	15	佐賀	1	(馬齢)		10.0	230.0	1.0	10.0	120	2.0	4.0	120.0	1.0	2.0	410	7.0	4-10	530.0	2.0	4-10	240	2.0	2-10	1,300	16.0	2-4	2,050	20.0	10=>4	520.0	1.0	2-4-10	4330.0	13.0	10=>4=>2	13600.0	37.0	410512912678311.0	410152961278311.0	410512912678311.0	410269121578311.0			4-7	500.0	2.0
201755111808	ダ	右	1400	曇	良	14:30	C1ー6組		2017-11-18	15	佐賀	1	(馬齢)		5.0	110.0	1.0	5.0	100	1.0	2.0	120.0	2.0	4.0	150	3.0	2-5	140.0	1.0	2-5	120	1.0	4-5	240	3.0	2-4	450	8.0	5=>2	160.0	1.0	2-4-5	390.0	1.0	5=>2=>4	690.0	2.0	24875196103.0	24578169310.0	24571861093.0	52471108639.0			2-5	120.0	1.0
201755111809	ダ	右	1400	曇	良	15:00	小雪賞		2017-11-18	15	佐賀	1	(馬齢)		3.0	120.0	1.0	3.0	100	1.0	5.0	120.0	2.0	8.0	140	4.0	3-5	160.0	1.0	3-5	100	1.0	3-8	140	2.0	5-8	240	4.0	3=>5	180.0	1.0	3-5-8	250.0	1.0	3=>5=>8	540.0	1.0	16824753.0	16827453.0	61875432.0	68357142.0					
201755111810	ダ	右	900	曇	良	15:35	ドリームシリーズ		2017-11-18	15	佐賀	1	(馬齢)		11.0	390.0	2.0	11.0	140	2.0	10.0	100.0	1.0	9.0	270	7.0	10-11	220.0	1.0	10-11	180	1.0	9-11	650	8.0	9-10	380	2.0	11=>10	700.0	2.0	9-10-11	930.0	3.0	11=>10=>9	2910.0	6.0			111042891375612.0	111091428537612.0			7-8	200.0	1.0
201755111811	ダ	右	1400	曇	良	16:10	サフラン特別 		2017-11-18	15	佐賀	1	(別定)		6.0	2360.0	7.0	6.0	360	5.0	11.0	430.0	6.0	9.0	170	3.0	6-11	27350.0	34.0	6-11	4,460	28.0	6-9	1,250	14.0	9-11	1,050	11.0	6=>11	72070.0	65.0	6-9-11	20470.0	41.0	6=>11=>9	316840.0	360.0	6911154831072.0	6911145381027.0	6911185432107.0	6119851310247.0			6-8	7360.0	16.0
201755111812	ダ	右	1400	曇	良	16:45	JRA認定天山賞	G	2017-11-18	15	佐賀	1	(別定)		11.0	440.0	2.0	11.0	150	1.0	7.0	1,050	9.0	9.0	2,100	11.0	7-11	6640.0	18.0	7-11	2,180	21.0	9-11	3,960	31.0	7-9	17,090	50.0	11=>7	7940.0	20.0	7-9-11	100700.0	114.0	11=>7=>9	317510.0	465.0	111879531241026.0	111897125341026.0	111129875321046.0	111257983121064.0			6-8	570.0	3.0
201755111901	ダ	右	900	曇	良	11:00	C2ー28組		2017-11-19	15	佐賀	2	(馬齢)		11.0	360.0	2.0	11.0	200	3.0	4.0	560	6.0	8.0	290	4.0	4-11	2260.0	9.0	4-11	770	13.0	8-11	260	2.0	4-8	480	7.0	11=>4	3300.0	14.0	4-8-11	2110.0	8.0	11=>4=>8	10020.0	51.0			1119410683275.0	1119486107325.0			4-8	3100.0	11.0
201755111902	ダ	右	1300	曇	良	11:30	2歳ー4組		2017-11-19	15	佐賀	2	(馬齢)		8.0	470.0	2.0	8.0	150	2.0	4.0	200	3.0	11.0	920	8.0	4-8	1240.0	5.0	4-8	480	6.0	8-11	6,700	32.0	4-11	7,440	36.0	8=>4	1630.0	7.0	4-8-11	33840.0	53.0	8=>4=>11	67810.0	157.0	3811151064279.0	3811151064729.0	3811110564729.0	8311104651729.0			4-7	980.0	5.0
201755111903	ダ	右	1300	曇	良	12:00	C2ー26組		2017-11-19	15	佐賀	2	(馬齢)		1.0	170.0	1.0	1.0	100	1.0	8.0	100	2.0	9.0	140	3.0	1-8	120.0	1.0	1-8	100	1.0	1-9	220	3.0	8-9	190	2.0	1=>8	310.0	2.0	1-8-9	260.0	1.0	1=>8=>9	720.0	2.0	16103948752.0	16103948752.0	13691084752.0	18931064725.0			1-7	130.0	1.0
