	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200851062509	ダ	右	1500	曇	良	15:50	楽天競馬特別 		2008-6-25	1	姫路	5	(馬齢)		10	350	3	10	110	2	3	130	3	3-10	1100	4	3-10	290	4	6-10	170	1	3-6	230	3	10=>3	2360	11	3-6-10	810	3	3,5,4,10,(6,8),(1,9),2,7	3,5,(4,10),6,(1,8),9,2,7	3,(5,10),4,6,1,2,9,8,7	31046512978			6.0	100	1.0	3-8	820.0	2.0	10=>3=>6	5880.0	16.0
200851062601	ダ	右	1400	曇	良	11:10	D1三　4歳以上		2008-6-26	1	姫路	6	(馬齢)		4	230	2	4	150	1	3	150	2	3-4	270	1	3-4	150	1	4-6	420	6	3-6	400	5	4=>3	660	2	3-4-6	920	4	(4,5),6,3,7,1,2	4563712	4,5,(3,6),(1,7),2	4536172											
200851062602	ダ	右	1400	曇	良	11:40	D1二　4歳以上		2008-6-26	1	姫路	6	(馬齢)		6	870	5	6	560	5	3	310	4	3-6	3290	10	3-6	860	11	1-6	1,510	17	1-3	1,280	16	6=>3	7010	23	1-3-6	23890	34	2514367	2514637	2563147	5263174											
200851062603	ダ	右	1400	曇	良	12:10	D1一　4歳以上		2008-6-26	1	姫路	6	(馬齢)		3	170	1	3	150	2	1	910	6	1-3	710	2	1-3	300	2	3-4	340	4	1-4	700	11	3=>1	980	3	1-3-4	1990	8	3647251	3647215	3164275	3164725											
200851062604	ダ	右	1400	曇	良	12:40	F1二　3歳		2008-6-26	1	姫路	6	(馬齢)		7	2900	6	7	220	5	2	210	4	2-7	7600	17	2-7	1,210	16	3-7	930	11	2-3	700	8	7=>2	12410	32	2-3-7	6730	17	5,7,8,2,3,1,(4,6)	5,7,8,2,3,1,(4,6)	5,7,8,2,(1,3),6,4	5,7,(2,8),3,1,6,4			3.0	180	2.0						
200851070101	ダ	右	1400	晴	良	11:10	D6四　4歳以上		2008-7-1	2	姫路	1	(馬齢)		6	520	3	6	110	2	5	710	7	5-6	5230	15	5-6	2,100	15	6-9	210	2	5-9	2,100	15	6=>5	16570	35	5-6-9	7590	20	695417382	695417382	695471238	6,5,9,(4,7),1,2,3,8			9.0	100	1.0	5-6	5740.0	15.0			
200851070102	ダ	右	1400	晴	良	11:40	D6三　4歳以上		2008-7-1	2	姫路	1	(馬齢)		1	550	2	1	140	2	4	110	1	1-4	590	3	1-4	280	4	1-3	880	12	3-4	150	1	1=>4	1690	7	1-3-4	820	2	4,5,1,(3,9),7,2,6,8	451397268	451397628	451396728			3.0	210	5.0	1-4	600.0	3.0			
200851070103	ダ	右	800	晴	良	12:10	ファーストトライ競走		2008-7-1	2	姫路	1	(馬齢)		8	210	1	8	130	1	4	270	6	4-8	670	3	4-8	280	4	3-8	500	5	3-4	1,080	11	8=>4	940	4	3-4-8	2420	12			86457231.0	84657213.0			3.0	310	7.0						
200851070104	ダ	右	1400	晴	良	12:40	D6二　4歳以上		2008-7-1	2	姫路	1	(馬齢)		4	210	1	4	140	2	6	310	6	4-6	3290	13	4-6	660	11	3-4	200	2	3-6	630	10	4=>6	4020	19	3-4-6	2090	7	583427916	583427916	465382971	463528971			3.0	170	3.0	4-6	2950.0	11.0			
200851070105	ダ	右	1500	晴	良	13:15	B3三　3歳以上 		2008-7-1	2	姫路	1	(馬齢)		1	240	1	1	150	2	6	220	3	1-6	520	2	1-6	170	2	1-5	110	1	5-6	200	4	1=>6	840	3	1-5-6	310	1	5,6,(1,4),3,7,2	5614372	(5,6),1,3,4,7,2	(5,6),1,3,4,7,2											
