	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200850011507	ダ	右	1400	晴	稍重	14:10	C2二　4歳以上		2008-1-15	20	園田	2	(馬齢)		11	350	2	11	130	2	9	110	1	9-11	490	1	9-11	210	1	6-11	1,200	14	6-9	1,000	12	11=>9	1060	4	6-9-11	3830	12	211106894351	(2,11),10,6,8,4,9,3,1,5	112810693154	116810913254			6.0	400.0	7.0	7-8	340.0	1.0			
200850011508	ダ	右	1400	晴	稍重	14:40	C2一　4歳以上		2008-1-15	20	園田	2	(馬齢)		11	150	1	11	110	1	1	170	4	1-11	790	3	1-11	290	3	10-11	170	1	1-10	440	6	11=>1	700	2	1-10-11	780	1	112312106541789	112312106541789	11,2,(3,12),10,4,(5,6),1,7,8,9	112312104517689			10.0	140.0	3.0	1-8	530.0	3.0	11=>1=>10	2690.0	4.0
200850011509	ダ	右	1400	晴	稍重	15:15	妙見山特別 		2008-1-15	20	園田	2	(馬齢)		7	210	1	7	110	1	5	200	4	5-7	510	3	5-7	280	3	7-8	170	1	5-8	720	9	7=>5	660	3	5-7-8	700	3	783451629	783451629	748351692	784531692			8.0	130.0	3.0	5-7	480.0	3.0	7=>5=>8	2080.0	6.0
200850011601	ダ	右	1400	曇	稍重	10:55	F4二　3歳		2008-1-16	20	園田	3	(馬齢)		1	680	5	1	410	6	6	150	2	1-6	1900	9	1-6	1,550	20	1-10	4,830	37	6-10	930	10	1=>6	12190	44	1-6-10	15320	47	(1,11),(2,12),6,4,10,3,5,9,7,8	(1,11),(2,12),6,4,10,3,5,(7,9),8	116112241095738	111612210945378			10.0	250.0	4.0	1-5	3440.0	12.0			
200850011602	ダ	右	1400	曇	稍重	11:20	F4一　3歳		2008-1-16	20	園田	3	(馬齢)		12	630	3	12	160	2	8	480	6	8-12	3200	13	8-12	680	10	1-12	590	7	1-8	360	4	12=>8	7340	23	1-8-12	3700	11	581321271041169	5,8,1,3,2,12,7,(4,10),11,6,9	8,5,3,10,1,12,7,2,6,(4,11),9	851312102746911			1.0	200.0	3.0	6-8	880.0	5.0			
200850011603	ダ	右	1400	曇	稍重	11:45	ステップアップ競走		2008-1-16	20	園田	3	(馬齢)		9	130	1	9	100	1	5	270	6	5-9	680	3	5-9	320	3	9-10	300	2	5-10	480	6	9=>5	830	4	5-9-10	1100	4	49103276815	49210378615	95104327681	95104327861			10.0	140.0	3.0	5-8	790.0	3.0			
200850011604	ダ	右	1400	曇	稍重	12:15	D4二　4歳以上		2008-1-16	20	園田	3	(馬齢)		7	130	1	7	100	1	8	120	2	7-8	260	1	7-8	110	1	4-7	210	3	4-8	210	2	7=>8	350	1	4-7-8	260	1	1,7,8,4,3,10,6,5,(2,9)	17846310529	17846352109	78143625109			4.0	160.0	5.0	7-7	280.0	1.0			
200850011605	ダ	右	1400	曇	稍重	12:45	D4一　4歳以上		2008-1-16	20	園田	3	(馬齢)		8	220	1	8	110	1	7	160	4	7-8	610	3	7-8	230	2	1-8	230	3	1-7	400	6	8=>7	1130	5	1-7-8	770	3	11,8,2,7,4,3,6,(1,9),(5,10)	11,8,(2,7),4,3,6,1,9,(5,10)	8117421013695	8,11,(4,7),2,1,10,3,6,5,9			1.0	120.0	2.0	6-7	710.0	4.0			
200850011606	ダ	右	1400	曇	稍重	13:15	D3三　4歳以上		2008-1-16	20	園田	3	(馬齢)		2	130	1	2	100	1	3	140	2	2-3	290	1	2-3	160	1	2-7	850	11	3-7	1,080	12	2=>3	300	1	2-3-7	2610	8	3,7,4,8,2,1,6,(5,10),9	37482165109	3,7,2,4,8,6,5,1-10,9	32748561109			7.0	720.0	6.0	2-3	220.0	1.0			
200850011607	ダ	右	1400	曇	稍重	13:45	D3二　4歳以上		2008-1-16	20	園田	3	(馬齢)		3	100	1	3	100	2	2	300	5	2-3	980	5	2-3	280	4	1-3	150	1	1-2	940	12	3=>2	1240	6	1-2-3	1130	5	12398107654	1,2,(3,9),8,(6,10),7,5,4	1,2,3,9,5,8,7,(6,10),4	12359786104			1.0	100.0	1.0	2-3	1330.0	5.0			
