	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200753120905	ダ	右	1250	晴	良	12:55	3歳4　条件		2007-12-9	14	福山	1	(馬齢)		8	260	1	8	120	1	2	140	3	5.0	170	4.0	2-8	480	1	8=>2	770	1	8=>2=>5	4060	8	45172863	45127863	4,5,2,1,8,7,6-3	4,5,(2,8),1,7,6=3		
200753120906	ダ	右	1250	晴	良	13:30	3歳3　条件		2007-12-9	14	福山	1	(馬齢)		6	460	3	6	130	1	4	140	2	3.0	380	7.0	4-6	820	3	6=>4	1650	4	6=>4=>3	51000	150	23581764	23586714	23568741	23685741		
200753120907	ダ	右	1600	晴	良	14:05	3歳2　条件		2007-12-9	14	福山	1	(馬齢)		1	250	1	1	190	4	4	150	2	5.0	470	7.0	1-4	790	2	1=>4	1740	5	1=>4=>5	32730	114	14523678	14523678	1,4,6,5,7,2,3-8	(1,4),6,(7,5),(2,3)-8		
200753120908	ダ	右	1600	晴	良	14:40	3歳1　条件		2007-12-9	14	福山	1	(馬齢)		2	270	1	2	160	3	1	300	6	3.0	230	4.0	1-2	3210	15	2=>1	5440	19	2=>1=>3	16290	64	5,2,1,3,(8,9),4,6,7	5-2,1,3,9,4,8,6,7	521394687	521349687		
200753120909	ダ	右	1600	晴	良	15:15	冬銀河特別 		2007-12-9	14	福山	1	(馬齢)		7	200	1	7	100	1	2	130	2	4.0	150	4.0	2-7	440	1	7=>2	790	1	7=>2=>4	3670	9	26834571	2,6,(8,3),4,5,7,1	2,3,(8,6),4,7,5,1	23748561		
200753120910	ダ	右	1600	晴	良	15:50	福山市長杯ヤ	G	2007-12-9	14	福山	1	(馬齢)		5	130	1	5	120	2	8	110	1	6.0	250	6.0	5-8	210	1	5=>8	340	1	5=>8=>6	3070	7	81062537149	81062537941	8,(10,6,5),2,9,4,7,3,1	85210649371		
200753121501	ダ	右	1250	晴	稍重	10:50	3歳8　条件		2007-12-15	14	福山	2	(馬齢)		7	1220	4	7	170	4	1	110	2	8.0	110	1.0	1-7	1470	5	7=>1	6900	20	7=>1=>8	7560	23	17254683	17254683	17526483	17258643		
200753121502	ダ	右	1250	晴	稍重	11:20	3歳7　条件		2007-12-15	14	福山	2	(馬齢)		5	460	3	5	100	1	3	100	2	8.0	110	3.0	3-5	600	3	5=>3	1080	5	5=>3=>8	2350	5	48156372	4,8,(1,5),(3,6),7,2	84531672	8,5,4,3,1,7,6-2		
200753121503	ダ	右	1250	晴	稍重	11:50	3歳6　条件		2007-12-15	14	福山	2	(馬齢)		3	200	1	3	110	1	2	210	5	8.0	170	4.0	2-3	600	3	3=>2	910	4	3=>2=>8	6370	21	23176845	2,(1,3),7,6,8,4,5	23718645	23178645		
200753121504	ダ	右	1250	晴	稍重	12:20	3歳5　条件		2007-12-15	14	福山	2	(馬齢)		3	100	1	3	100	1	4	470	8	2.0	170	4.0	3-4	1910	7	3=>4	2100	8	3=>4=>2	13180	44	34861725	34681725	34681257	34612875		
200753081401	ダ	右	1250	晴	良	10:50	混合		2007-8-14	8	福山	2	(馬齢)		6	650	2	6	110	1	3	120	2	4.0	130	3.0	3-6	950	6	6=>3	1820	9	6=>3=>4	7260	48	562493187	5,6,2,4,9,3,1=8,7	5,6,4,3,9,2,1=8,7	6,5,3,4,9-2,1=8,7		
200753081402	ダ	右	1250	晴	良	11:25	混合		2007-8-14	8	福山	2	(馬齢)		7	500	2	7	110	2	4	140	3	8.0	110	1.0	4-7	1570	6	7=>4	3340	11	7=>4=>8	5920	20	379182546	379182546	(3,7),9,8,1,2,4,5,6	738291456		
200753081403	ダ	右	1250	晴	良	12:00	C24		2007-8-14	8	福山	2	(馬齢)		6	650	4	6	150	2	4	190	4	3.0	240	5.0	4-6	880	5	6=>4	2460	12	6=>4=>3	10730	43	2,8,3,6,1,7,4-5	2,8-3,6,1,7,4-5	28634715	23684751		
