	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気
200954062608	ダ	右	1400	晴	稍重	16:40	D2		2009-6-26	5	高知	3	(馬齢)		1	140	1	1-9	930	3	1-9	420	5	1-7	290	3	7-9	800	10	1=>9	780	2.0	1-7-9	2350	8	1=>9=>7	3840	12	1,5,9,7,(2,4),3,8,6	1,5,2,9,7,(4,3),8,6	1,5,9,2,7,(3,8,6),4	197825634											
200954062609	ダ	右	1600	晴	稍重	17:15	ハイビスカス特別 		2009-6-26	5	高知	3	(馬齢)		5	100	1	5-8	250	1	5-8	130	1	5-6	300	5	6-8	1,120	13	5=>8	240	1.0	5-6-8	830	3	5=>8=>6	1250	4	4,(1,5),8,2,10,6,7,9,3	41528107693	(1,4,5),8,2,6,7,10,9,3	58142679310											
200954062610	ダ	右	1900	晴	稍重	17:50	高知優駿	G	2009-6-26	5	高知	3	(馬齢)		1	110	1	1-10	470	3	1-10	220	3	1-9	720	8	9-10	1,770	14	1=>10	510	2.0	1-9-10	2610	9	1=>10=>9	3900	12	89761351042	89671351042	68195310247	1,6,10,9,(8,3,5),2,4,7											
200954071001	ダ	右	1300	晴	重	13:10	結婚したぜ特別		2009-7-10	6	高知	1	(馬齢)		2	480	2	2-6	150	1	2-6	140	1	2-5	360	6	5-6	430	7	2=>6	1630	5.0	2-5-6	680	3	2=>6=>5	5210	13	3642175	3624157	3624517	2643517											
200954071002	ダ	右	1300	晴	重	13:40	Dイ		2009-7-10	6	高知	1	(馬齢)		4	730	2	4-6	290	2	4-6	110	2	3-4	180	4	3-6	100	1	4=>6	1060	5.0	3-4-6	200	1	4=>6=>3	1960	7	561432	563412	564312	6,4,5,3,2-1											
200954071003	ダ	右	1300	晴	重	14:10	E7		2009-7-10	6	高知	1	(馬齢)		3	1850	5	3-7	3040	8	3-7	2,360	13	3-6	2,070	12	6-7	550	8	3=>7	9120	24.0	3-6-7	9070	22	3=>7=>6	68730	109	1364572	1364752	1,3,(6,7),4,5,2	3761254											
200954071004	ダ	右	1300	晴	重	14:40	E6		2009-7-10	6	高知	1	(馬齢)		3	890	3	3-5	230	1	3-5	110	2	3-6	190	3	5-6	100	1	3=>5	1250	4.0	3-5-6	250	1	3=>5=>6	2020	5	17285634	17852643	18753624	53876124											
200954072501	ダ	右	1300	雨	不良	15:35	E9		2009-7-25	7	高知	2	(馬齢)		7	180	1	1-7	240	1	1-7	220	4	3-7	140	2	1-3	210	3	7=>1	500	2.0	1-3-7	240	1	7=>1=>3	880	2	3,7,(4,5),6,1,2	3,6,7,4,5,1-2	3,7,6,4,1,5-2	3,6,7,1,4,5=2			7.0	130.0	2.0	1.0	130	1.0			
200954072502	ダ	右	1300	雨	不良	16:05	E8		2009-7-25	7	高知	2	(馬齢)		5	110	1	5-6	110	1	5-6	100	1	3-5	200	4	3-6	330	12	5=>6	130	1.0	3-5-6	300	2	5=>6=>3	780	3	562473	562743	562743	564327			5.0	100.0	1.0	6.0	100	2.0			
200954080801	ダ	右	1300	晴	良	15:35	E4		2009-8-8	7	高知	4	(馬齢)		3	120	1	2-3	1050	3	2-3	740	4	3-5	360	2	2-5	1,040	6	3=>2	1250	4.0	2-3-5	1330	5	3=>2=>5	2630	9	2375614	2375164	2,3,1,7,5,(6,4)	2,3,(1,5),7,4,6			3.0	100.0	1.0	2.0	410	4.0			
200954082101	ダ	右	1300	晴	良	15:35	E5		2009-8-21	8	高知	1	(馬齢)		3	100	1	1-3	390	2	1-3	140	2	3-5	120	1	1-5	310	5	3=>1	310	2.0	1-3-5	440	1	3=>1=>5	610	2	37165284	3,7,(1,6),5,2,8,4	3,(7,6),1,5,2,8,4	3,1,(6,5),7,2,8,4			3.0	100.0	1.0	1.0	100	2.0	5.0	130.0	3.0
200954090401	ダ	右	1300	晴	不良	15:35	E5		2009-9-4	8	高知	5	(馬齢)		4	150	1	1-4	910	2	1-4	290	4	2-4	2,080	13	1-2	3,420	14	4=>1	1030	3.0	1-2-4	4860	12	4=>1=>2	15180	36	243561	245361	2,4,3,(5,6),1	(2,4),1,5,6,3			4.0	100.0	1.0	1.0	220	3.0			
200954090402	ダ	右	1300	晴	不良	16:05	E4		2009-9-4	8	高知	5	(馬齢)		4	160	1	3-4	470	3	3-4	160	2	1-4	200	3	1-3	520	6	4=>3	700	3.0	1-3-4	490	3	4=>3=>1	2420	11	532164	5-3,2,1,4,6	5-3,4,2,1,6	452316			4.0	160.0	2.0	3.0	480	4.0			
200954090403	ダ	右	1300	晴	不良	16:35	Cイ		2009-9-4	8	高知	5	(馬齢)		2	760	3	2-4	200	1	2-4	150	2	1-2	450	4	1-4	480	5	2=>4	1060	3.0	1-2-4	460	2	2=>4=>1	3270	12	624531	264351	241635	421536			2.0	130.0	2.0	4.0	100	1.0			
200954090404	ダ	右	1400	晴	不良	17:10	E3		2009-9-4	8	高知	5	(馬齢)		4	100	1	1-4	160	1	1-4	130	1	4-6	220	4	1-6	320	5	4=>1	200	1.0	1-4-6	350	2	4=>1=>6	610	2	14573682	1,(4,5),7,3,6,(2,8)	1,4,5,7,3,6,(2,8)	14563728			4.0	100.0	1.0	1.0	140	2.0	6.0	180.0	5.0
200954092701	ダ	右	1300	曇	良	15:35	Eハ		2009-9-27	9	高知	6	(馬齢)		3	290	1	3-8	12640	17	3-8	2,830	14	3-4	440	6	4-8	2,140	12	3=>8	31480	35.0	3-4-8	10160	22	3=>8=>4	154470	154	3,1,7,8,5,(2,4),6	31785246	3,1,(8,7,5),2,4,6	38254716			3.0	160.0	3.0	8.0	710	6.0	4.0	130.0	2.0
200954092702	ダ	右	1400	曇	良	16:10	土佐はし拳特別 		2009-9-27	9	高知	6	(馬齢)		2	1080	3	1-2	2810	10	1-2	1,140	13	2-3	320	4	1-3	780	9	2=>1	9340	23.0	1-2-3	3260	11	2=>1=>3	19320	52	47105938261	4,7,(5,10),(3,9),2,8,6,1	47953101268	21347961058			2.0	210.0	3.0	1.0	270	5.0	3.0	140.0	2.0
