	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200206010309	芝	右	1600	曇	良	14:30	黄梅賞 		2002-3-2	1	中山	3	3歳500万下	(特指)(馬齢)	14	2390	9	14	630	9	13	150	1	7.0	230	4.0	7-7	3860	16	13-14	3790.0	19.0	13-14	1,330	17.0	7-14	3,050	38.0	7-13	660	4.0					12.2 - 10.9 - 11.1 - 11.8 - 12.0 - 12.3 - 12.2 - 12.2	12.2 - 23.1 - 34.2 - 46.0 - 58.0 - 70.3 - 82.5 - 94.7 (12.2-12.2)									
200206010310	芝	右	2500	曇	良	15:00	サンシャインS 		2002-3-2	1	中山	3	4歳以上1600万下	(混)[指](ハンデ)	1	220	1	1	120	1	10	140	2	2.0	160	3.0	1-8	440	1	1-10	770.0	2.0	1-10	290	2.0	1-2	270	1.0	2-10	500	7.0					7.1 - 11.5 - 11.7 - 11.6 - 12.1 - 12.8 - 13.3 - 12.6 - 12.3 - 12.2 - 11.8 - 12.0 - 12.2	7.1 - 18.6 - 30.3 - 41.9 - 54.0 - 66.8 - 80.1 - 92.7 - 105.0 - 117.2 - 129.0 - 141.0 - 153.2 (7.1-7.1)									
200206010311	芝	右	1200	曇	良	15:35	オーシャンステークス 		2002-3-2	1	中山	3	4歳以上オープン	(混)(指)(別定)	14	310	1	14	160	1	2	300	5	3.0	530	9.0	2-8	1550	7	2-14	1820.0	6.0	2-14	690	6.0	3-14	1,680	22.0	2-3	2,560	37.0					11.5 - 10.2 - 10.3 - 11.3 - 11.4 - 12.6	11.5 - 21.7 - 32.0 - 43.3 - 54.7 - 67.3 (11.5-11.5)									
200206010312	ダ	右	1800	曇	良	16:15	4歳以上1000万下		2002-3-2	1	中山	3	4歳以上1000万下	牝[指](別定)	8	860	4	8	290	5	9	270	4	5.0	240	3.0	6-7	2370	11	8-9	4540.0	20.0	8-9	1,370	19.0	5-8	730	7.0	5-9	790	9.0					12.9 - 12.0 - 13.1 - 13.2 - 12.5 - 12.6 - 12.3 - 12.6 - 13.0	12.9 - 24.9 - 38.0 - 51.2 - 63.7 - 76.3 - 88.6 - 101.2 - 114.2 (12.9-12.9)									
200206010401	ダ	右	1200	曇	良	10:00	3歳未勝利		2002-3-3	1	中山	4	3歳未勝利	牝[指](馬齢)	5	140	1	5	100	1	13	110	2	4.0	1,180	12.0	3-7	180	1	5-13	180.0	1.0	5-13	130	1.0	4-5	1,980	19.0	4-13	2,810	26.0					12.3 - 10.9 - 11.6 - 12.0 - 12.4 - 13.1	12.3 - 23.2 - 34.8 - 46.8 - 59.2 - 72.3 (12.3-12.3)									
200206010402	ダ	右	1800	曇	良	10:25	3歳未勝利		2002-3-3	1	中山	4	3歳未勝利	(混)[指](馬齢)	13	880	4	13	240	4	8	220	3	2.0	290	5.0	4-7	2120	8	8-13	2170.0	9.0	8-13	770	8.0	2-13	880	9.0	2-8	960	10.0					12.4 - 12.2 - 13.2 - 13.8 - 13.0 - 13.3 - 13.3 - 13.1 - 12.8	12.4 - 24.6 - 37.8 - 51.6 - 64.6 - 77.9 - 91.2 - 104.3 - 117.1 (12.4-12.4)									
200206010403	ダ	右	1200	曇	良	10:55	3歳新馬		2002-3-3	1	中山	4	3歳新馬	[指](馬齢)	4	530	2	4	150	3	3	100	1	9.0	140	2.0	2-2	540	2	3-4	520.0	1.0	3-4	250	1.0	4-9	390	4.0	3-9	290	2.0					12.5 - 10.9 - 11.5 - 12.1 - 12.9 - 13.6	12.5 - 23.4 - 34.9 - 47.0 - 59.9 - 73.5 (12.5-12.5)									
200206010404	ダ	右	1800	曇	良	11:20	3歳新馬		2002-3-3	1	中山	4	3歳新馬	[指](馬齢)	8	290	1	8	160	1	3	860	10	11.0	5,640	16.0	2-4	1860	10	3-8	5950.0	20.0	3-8	2,100	22.0	8-11	15,720	81.0	3-11	35,440	104.0					12.6 - 12.1 - 12.7 - 13.1 - 12.7 - 13.0 - 13.7 - 14.1 - 14.1	12.6 - 24.7 - 37.4 - 50.5 - 63.2 - 76.2 - 89.9 - 104.0 - 118.1 (12.6-12.6)									
200206010405	障		2700	曇	良  ダート	11:50	障害4歳以上未勝利		2002-3-3	1	中山	4	障害4歳以上未勝利	(馬齢)	12	170	1	12	120	1	7	190	4	6.0	670	8.0	5-7	390	1	7-12	690.0	2.0	7-12	350	3.0	6-12	1,240	15.0	6-7	2,200	23.0															
200206010406	芝	右	1600	曇	良	12:50	3歳新馬		2002-3-3	1	中山	4	3歳新馬	(混)[指](馬齢)	1	2270	10	1	510	8	7	490	7	6.0	170	2.0	1-4	6270	20	1-7	11140.0	37.0	1-7	2,500	32.0	1-6	1,140	11.0	6-7	1,140	12.0					12.7 - 11.9 - 12.2 - 12.7 - 12.6 - 12.3 - 11.9 - 11.8	12.7 - 24.6 - 36.8 - 49.5 - 62.1 - 74.4 - 86.3 - 98.1 (12.7-12.7)									
200206010407	ダ	右	1800	曇	良	13:20	3歳500万下		2002-3-3	1	中山	4	3歳500万下	(混)(特指)(馬齢)	1	490	2	1	180	2	2	2,180	13	13.0	240	3.0	1-2	16470	25	1-2	15820.0	37.0	1-2	3,420	38.0	1-13	600	3.0	2-13	9,650	64.0					12.4 - 11.4 - 12.8 - 13.7 - 12.8 - 12.8 - 12.9 - 13.3 - 13.8	12.4 - 23.8 - 36.6 - 50.3 - 63.1 - 75.9 - 88.8 - 102.1 - 115.9 (12.4-12.4)									
200206010408	ダ	右	1800	曇	良	13:50	4歳以上500万下		2002-3-3	1	中山	4	4歳以上500万下	(混)[指](別定)	8	350	1	8	150	1	11	270	4	5.0	350	6.0	4-6	450	1	8-11	1640.0	4.0	8-11	650	4.0	5-8	860	8.0	5-11	1,770	24.0					12.5 - 11.1 - 12.3 - 13.5 - 12.4 - 13.1 - 13.6 - 13.3 - 13.5	12.5 - 23.6 - 35.9 - 49.4 - 61.8 - 74.9 - 88.5 - 101.8 - 115.3 (12.5-12.5)									
200206010409	芝	右	1800	曇	良	14:25	両国特別 		2002-3-3	1	中山	4	4歳以上1000万下	(混)[指](別定)	10	2030	7	10	520	6	15	220	3	2.0	490	5.0	5-8	2720	14	10-15	3160.0	12.0	10-15	1,200	12.0	2-10	2,330	27.0	2-15	1,340	13.0					12.6 - 11.4 - 12.0 - 11.9 - 11.9 - 12.2 - 12.0 - 11.7 - 12.1	12.6 - 24.0 - 36.0 - 47.9 - 59.8 - 72.0 - 84.0 - 95.7 - 107.8 (12.6-12.6)									
