	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気
200204010403	ダ	左	1800	晴	良	10:45	3歳未勝利		2002-4-28	1	新潟	4	3歳未勝利	(混)(馬齢)	7	140	1	7	100	1	6	140	2	10.0	230	5.0	5-6	260	1	6-7	260.0	1.0	6-7	160	1.0	7-10	400	5.0	6-10	540	8.0					12.8 - 11.2 - 12.6 - 13.7 - 13.1 - 12.8 - 13.3 - 12.9 - 13.7	12.8 - 24.0 - 36.6 - 50.3 - 63.4 - 76.2 - 89.5 - 102.4 - 116.1 (12.8-12.8)						
200204010404	ダ	左	1200	晴	良	11:10	3歳未勝利		2002-4-28	1	新潟	4	3歳未勝利	(馬齢)	11	840	6	11	270	6	9	160	2	14.0	160	3.0	6-7	670	3	9-11	1870.0	11.0	9-11	730	10.0	11-14	850	14.0	9-14	600	7.0					12.6 - 11.1 - 11.9 - 13.3 - 12.6 - 12.8	12.6 - 23.7 - 35.6 - 48.9 - 61.5 - 74.3 (12.6-12.6)						
200204010405	芝	左	2000	晴	良	11:40	3歳未勝利		2002-4-28	1	新潟	4	3歳未勝利	牝(馬齢)	6	370	1	6	160	1	16	240	5	14.0	170	2.0	3-8	1010	3	6-16	1340.0	3.0	6-16	500	3.0	6-14	370	1.0	14-16	620	6.0					12.6 - 10.8 - 12.2 - 12.6 - 12.6 - 12.6 - 12.8 - 12.4 - 12.4 - 12.2	12.6 - 23.4 - 35.6 - 48.2 - 60.8 - 73.4 - 86.2 - 98.6 - 111.0 - 123.2 (12.6-12.6)						
200204010406	芝	左	1600	晴	良	12:40	3歳未勝利		2002-4-28	1	新潟	4	3歳未勝利	(混)(馬齢)	8	420	2	8	170	2	5	760	8	14.0	200	3.0	3-4	3660	14	5-8	8330.0	29.0	5-8	2,040	26.0	8-14	400	3.0	5-14	2,450	31.0					12.7 - 11.4 - 12.3 - 13.1 - 12.7 - 11.6 - 11.5 - 12.1	12.7 - 24.1 - 36.4 - 49.5 - 62.2 - 73.8 - 85.3 - 97.4 (12.7-12.7)						
200204010407	ダ	左	1800	晴	良	13:10	4歳以上500万下		2002-4-28	1	新潟	4	4歳以上500万下	(別定)	8	2860	8	8	590	9	12	170	3	10.0	130	1.0	5-7	6090	19	8-12	8060.0	24.0	8-12	2,560	28.0	8-10	1,370	17.0	10-12	300	2.0					12.7 - 10.8 - 12.7 - 13.9 - 12.8 - 12.5 - 13.1 - 12.7 - 13.5	12.7 - 23.5 - 36.2 - 50.1 - 62.9 - 75.4 - 88.5 - 101.2 - 114.7 (12.7-12.7)						
200204010408	芝	左	1800	晴	良	13:40	4歳以上500万下		2002-4-28	1	新潟	4	4歳以上500万下	(混)(別定)	4	1470	7	4	330	5	8	190	3	12.0	140	1.0	2-4	2190	10	4-8	3290.0	13.0	4-8	1,130	14.0	4-12	910	8.0	8-12	430	2.0					12.8 - 10.8 - 11.2 - 11.5 - 12.0 - 12.2 - 12.2 - 12.0 - 12.5	12.8 - 23.6 - 34.8 - 46.3 - 58.3 - 70.5 - 82.7 - 94.7 - 107.2 (12.8-12.8)						
200204010409	芝	左	2400	晴	良	14:10	荒川峡特別 		2002-4-28	1	新潟	4	4歳以上500万下	(混)(別定)	15	190	1	15	110	1	12	250	4	5.0	190	3.0	6-8	820	3	12-15	1020.0	3.0	12-15	470	3.0	5-15	370	2.0	5-12	1,400	18.0					12.6 - 11.6 - 12.1 - 12.4 - 13.0 - 12.6 - 12.3 - 12.5 - 12.6 - 12.2 - 11.9 - 11.6	12.6 - 24.2 - 36.3 - 48.7 - 61.7 - 74.3 - 86.6 - 99.1 - 111.7 - 123.9 - 135.8 - 147.4 (12.6-12.6)						
200204010410	芝	左	1200	晴	良	14:45	長岡特別 		2002-4-28	1	新潟	4	4歳以上500万下	牝(別定)	14	1230	8	14	420	6	3	190	2	2.0	1,300	14.0	2-7	1220	5	3-14	1820.0	4.0	3-14	790	4.0	2-14	4,860	60.0	2-3	2,180	30.0					12.3 - 10.8 - 11.6 - 11.7 - 11.8 - 12.1	12.3 - 23.1 - 34.7 - 46.4 - 58.2 - 70.3 (12.3-12.3)						
200204010411	芝	左	1600	晴	良	15:25	朝日岳特別 		2002-4-28	1	新潟	4	4歳以上1000万下	(混)(ハンデ)	13	1210	7	13	350	7	4	240	4	14.0	290	6.0	2-7	1890	14	4-13	3870.0	18.0	4-13	1,350	17.0	13-14	2,480	33.0	4-14	1,280	15.0					12.5 - 11.4 - 11.9 - 12.0 - 12.0 - 11.5 - 11.2 - 11.7	12.5 - 23.9 - 35.8 - 47.8 - 59.8 - 71.3 - 82.5 - 94.2 (12.5-12.5)						
200204010412	芝	直	1000	晴	良	16:10	4歳以上500万下		2002-4-28	1	新潟	4	4歳以上500万下	(別定)	13	7420	15	13	1,650	15	2	310	4	16.0	460	8.0	1-7	2230	12	2-13	32240.0	87.0	2-13	8,610	86.0	13-16	11,980	100.0	2-16	2,690	37.0					11.9 - 10.1 - 10.7 - 10.8 - 12.3	11.9 - 22.0 - 32.7 - 43.5 - 55.8 (11.9-11.9)						
