	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201655030601	ダ	右	1300	曇	良	12:30	3歳ー9組		2016-3-6	22	佐賀	6	(馬齢)		6	110	1	6.0	100	1.0	2.0	130	2.0	2-6	130	1	2-6	120	1	5-6	160	3	2-5	240	5	6=>2	210	1	2-5-6	230	1	6=>2=>5	360	1	6257134.0	6257134.0	6257134.0	6251374.0								
201655030602	ダ	右	1300	曇	良	13:00	3歳ー7組		2016-3-6	22	佐賀	6	(馬齢)		4	220	1	4.0	120	1.0	5.0	440	6.0	4-5	5230	10	4-5	1,140	12	4-6	130	1	5-6	620	8	4=>5	7350	15	4-5-6	2850	8	4=>5=>6	26420	58	58174623.0	58174263.0	58417263.0	54762813.0			6.0	140.0	3.0			
201655030603	ダ	右	1300	曇	良	13:30	C2ー44組		2016-3-6	22	佐賀	6	(馬齢)		10	130	1	10.0	100	1.0	8.0	120	2.0	8-10	130	1	8-10	110	1	9-10	300	4	8-9	430	6	10=>8	180	1	8-9-10	300	1	10=>8=>9	510	1	5289107641113.0	5821049711163.0	5810294711163.0	1085921114763.0			9.0	130.0	3.0	7-8	140.0	1.0
201655031301	ダ	右	1300	曇	重	12:15	C2ー29組		2016-3-13	23	佐賀	2	(馬齢)		3	460	3	3.0	140	4.0	6.0	220	5.0	3-6	2400	12	3-6	420	7	3-8	140	1	6-8	230	3	3=>6	5060	19	3-6-8	1310	7	3=>6=>8	13250	48	56472831.0	56472813.0	56487231.0	65843271.0			8.0	120.0	1.0			
201655031901	ダ	右	900	曇	不良	12:15	C2ー40組		2016-3-19	23	佐賀	3	(馬齢)		7	180	1	7.0	140	2.0	9.0	240	4.0	7-9	1260	4	7-9	300	3	1-7	130	1	1-9	790	12	7=>9	1530	6	1-7-9	1330	6	7=>9=>1	4900	14			792186453.0	791286453.0			1.0	160.0	3.0	7-8	420.0	2.0
201655031902	ダ	右	1300	曇	不良	12:45	C2ー39組		2016-3-19	23	佐賀	3	(馬齢)		4	380	2	4.0	170	2.0	8.0	300	6.0	4-8	2210	10	4-8	700	9	4-7	1,090	14	7-8	1,270	15	4=>8	3760	15	4-7-8	11270	36	4=>8=>7	43550	147	467592138.0	465729138.0	467259318.0	476295831.0			7.0	220.0	4.0	4-8	290.0	1.0
201655040201	ダ	右	1300	晴	稍重	12:15	C2ー29組		2016-4-2	1	佐賀	1	(馬齢)		5	120	1	5.0	150	2.0	6.0	280	4.0	5-6	470	2	5-6	130	2	3-5	110	1	3-6	160	3	5=>6	420	2	3-5-6	230	1	5=>6=>3	660	2	1356427.0	5316427.0	5316427.0	563142.0								
201655040202	ダ	右	1300	晴	稍重	12:45	C2ー28組		2016-4-2	1	佐賀	1	(馬齢)		5	440	2	5.0	120	1.0	3.0	150	2.0	3-5	680	3	3-5	200	4	5-6	160	2	3-6	120	1	5=>3	1320	6	3-5-6	300	1	5=>3=>6	2520	12	5627314.0	5627314.0	5276314.0	5326714.0								
201655040203	ダ	右	1300	晴	稍重	13:15	C2ー27組		2016-4-2	1	佐賀	1	(馬齢)		7	100	1	7.0	100	1.0	4.0	150	2.0	4-7	200	1	4-7	120	1	1-7	160	2	1-4	310	6	7=>4	260	1	1-4-7	350	1	7=>4=>1	450	1	7421365.0	7412365.0	7412356.0	7415326.0								
201655040204	ダ	右	1300	晴	稍重	13:45	C2ー23組		2016-4-2	1	佐賀	1	(馬齢)		7	700	4	7.0	180	5.0	4.0	140	1.0	4-7	660	2	4-7	370	4	2-7	430	6	2-4	620	11	7=>4	1520	6	2-4-7	2480	11	7=>4=>2	17310	70	25648173.0	25461873.0	25641738.0	24657318.0			2.0	340.0	6.0			
201655040205	ダ	右	1400	晴	稍重	14:15	C2ー21組		2016-4-2	1	佐賀	1	(馬齢)		8	140	1	8.0	110	1.0	7.0	130	2.0	7-8	250	1	7-8	130	1	2-8	220	3	2-7	310	5	8=>7	390	1	2-7-8	630	3	8=>7=>2	1690	4	87632514.0	87632154.0	87632154.0	87321645.0			2.0	190.0	5.0			
201655040901	ダ	右	900	曇	不良	12:15	C2ー38組		2016-4-9	1	佐賀	3	(馬齢)		2	8670	9	2.0	1,760	8.0	5.0	740	7.0	2-5	24680	27	2-5	14,380	34	2-4	2,820	21	4-5	1,590	16	2=>5	121890	65	2-4-5	43770	53	2=>5=>4	2292590	416			249853617.0	254896317.0			4.0	260.0	4.0	2-5	18120.0	21.0
201655040902	ダ	右	1300	曇	不良	12:45	C2ー35組		2016-4-9	1	佐賀	3	(馬齢)		6	150	1	6.0	100	1.0	2.0	110	2.0	2-6	300	1	2-6	150	1	5-6	220	3	2-5	410	9	6=>2	450	1	2-5-6	660	2	6=>2=>5	1420	3	625413.0	625413.0	625431.0	625431.0								
201655041601	ダ	右	1300	晴	稍重	12:15	3歳ー11組		2016-4-16	1	佐賀	5	(馬齢)		2	150	1	2.0	140	1.0	4.0	390	4.0	2-4	490	3	2-4	240	3	2-6	130	1	4-6	290	6	2=>4	610	3	2-4-6	450	3	2=>4=>6	1240	2	7526143.0	7526134.0	7625413.0	2647135.0								
201655042401	ダ	右	900	曇	不良	12:15	C2ー23組		2016-4-24	2	佐賀	2	(馬齢)		7	160	1	7.0	100	2.0	5.0	100	1.0	5-7	100	1	5-7	100	1	6-7	190	3	5-6	180	2	7=>5	180	1	5-6-7	190	1	7=>5=>6	400	2			76543812.0	75634812.0			6.0	130.0	3.0			
201655042402	ダ	右	1300	曇	不良	12:45	C2ー19組		2016-4-24	2	佐賀	2	(馬齢)		6	1250	6	6.0	220	5.0	8.0	120	1.0	6-8	1190	6	6-8	480	8	3-6	800	12	3-8	240	1	6=>8	3200	16	3-6-8	1370	5	6=>8=>3	6550	16	56847123.0	56874312.0	6587321.0	6837521.0			3.0	190.0	4.0			
201655050101	ダ	右	1300	晴	良	12:15	3歳ー10組		2016-5-1	2	佐賀	4	(馬齢)		6	190	1	6.0	140	2.0	1.0	420	4.0	1-6	1250	4	1-6	350	8	3-6	130	1	1-3	330	5	6=>1	1090	4	1-3-6	570	2	6=>1=>3	3240	11	3742651.0	3762415.0	3672145.0	6312754.0								
201655050102	ダ	右	1300	晴	良	12:45	3歳ー8組		2016-5-1	2	佐賀	4	(馬齢)		6	170	1	6.0	100	2.0	5.0	100	1.0	5-6	130	1	5-6	120	1	4-6	430	6	4-5	440	7	6=>5	250	1	4-5-6	390	2	6=>5=>4	940	2	64358127.0	65483127.0	65841327.0	65841273.0			4.0	210.0	5.0			
201655050103	ダ	右	1300	晴	良	13:15	3歳ー6組		2016-5-1	2	佐賀	4	(馬齢)		4	400	3	4.0	220	4.0	5.0	370	6.0	4-5	3710	11	4-5	990	11	3-4	310	3	3-5	600	7	4=>5	7050	18	3-4-5	3850	12	4=>5=>3	24280	67	356429178.0	325469178.0	352649187.0	345689172.0			3.0	150.0	2.0	4-5	8570.0	15.0
201655050801	ダ	右	900	晴	不良	12:15	C2ー23組		2016-5-8	3	佐賀	2	(馬齢)		8	100	1	8.0	100	1.0	3.0	100	2.0	3-8	140	1	3-8	100	1	7-8	170	3	3-7	130	2	8=>3	160	1	3-7-8	230	1	8=>3=>7	340	1			83475621.0	83754621.0			7.0	110.0	3.0			
201655050802	ダ	右	1300	曇	不良	12:45	C2ー21組		2016-5-8	3	佐賀	2	(馬齢)		1	110	1	1.0	100	1.0	7.0	140	4.0	1-7	480	3	1-7	250	4	1-8	100	1	7-8	330	5	1=>7	620	3	1-7-8	230	1	1=>7=>8	700	3	18345726.0	17843526.0	17485326.0	17845326.0			8.0	130.0	3.0			
201655050803	ダ	右	1300	曇	不良	13:15	C2ー19組		2016-5-8	3	佐賀	2	(馬齢)		5	670	3	5.0	270	5.0	4.0	130	2.0	4-5	1440	5	4-5	550	9	5-6	610	10	4-6	330	4	5=>4	2500	9	4-5-6	1480	5	5=>4=>6	8890	31	15246387.0	15246387.0	54126837.0	54612387.0			6.0	160.0	3.0			
201655052201	ダ	右	900	晴	良	12:15	C2ー21組		2016-5-22	4	佐賀	2	(馬齢)		8	460	3	8.0	140	3.0	7.0	180	4.0	7-8	420	1	7-8	220	2	1-8	240	3	1-7	340	5	8=>7	630	1	1-7-8	550	2	8=>7=>1	1830	5			18734265.0	81736254.0			1.0	110.0	1.0			
201655052202	ダ	右	1300	晴	良	12:45	C2ー19組		2016-5-22	4	佐賀	2	(馬齢)		1	2160	7	1.0	1,610	8.0	5.0	360	6.0	1-5	11900	23	1-5	4,180	26	1-2	4,870	27	2-5	810	14	1=>5	87390	54	1-2-5	31480	49	1=>5=>2	220090	310	24518637.0	24158673.0	25481673.0	25167843.0			2.0	260.0	5.0			
201655052801	ダ	右	1300	曇	不良	12:15	3歳ー9組		2016-5-28	4	佐賀	3	(馬齢)		2	110	1	2.0	100	1.0	3.0	140	3.0	2-3	110	1	2-3	100	1	2-8	280	5	3-8	340	7	2=>3	110	1	2-3-8	370	2	2=>3=>8	420	2	14238756.0	13428756.0	13428756.0	23184765.0			8.0	380.0	5.0			
201655052802	ダ	右	1300	曇	不良	12:45	3歳ー7組		2016-5-28	4	佐賀	3	(馬齢)		4	110	1	4.0	100	1.0	2.0	120	2.0	2-4	230	1	2-4	110	1	4-7	230	4	2-7	470	7	4=>2	330	3	2-4-7	870	4	4=>2=>7	1170	5	45627813.0	45267183.0	45217683.0	45217368.0			7.0	160.0	4.0			
201655060401	ダ	右	900	雨	良	12:15	C2ー21組		2016-6-4	5	佐賀	1	(馬齢)		5	110	1	5.0	100	1.0	3.0	150	3.0	3-5	260	1	3-5	170	1	5-7	360	4	3-7	950	13	5=>3	340	1	3-5-7	990	5	5=>3=>7	1470	4			53742681.0	53742618.0			7.0	220.0	6.0			
