	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201350011504	ダ	右	1400	晴	不良	12:40	3歳C2		2013-1-15	18	園田	4	(馬齢)		9	360	3	9	110	1	2	110	2	3.0	120	3.0	2-9	510	2	2-9	230	2	3-9	240	3	2-3	120	1	9=>2	1090	4	2-3-9	380	1	9=>2=>3	2040	4	2,8,12,3,10,9,4,7,(1,6),5,11	2,8,3,12,10,9,4,7,(1,6),5,11	2,9,8,3,10,12,(1,6),5,7,11,4	2,9,3,8,10,1,5,11,4,(6,12),7			2-7	540.0	2.0
201350011505	ダ	右	1230	晴	不良	13:10	C3		2013-1-15	18	園田	4	(馬齢)		4	140	1	4	120	1	6	270	5	8.0	370	6.0	4-6	1310	4	4-6	480	4	4-8	560	6	6-8	4,770	28	4=>6	1490	5	4-6-8	8940	26	4=>6=>8	28570	69	(4,10),3,2,7,8,6,1,9,5	4,10,3,(2,7),6,8,9,1,5	4,3,(2,9),10,(6,8),7,1,5	4,3,(2,9),6,8,1,5,10,7			4-6	1600.0	6.0
201350011506	ダ	右	1400	晴	不良	13:40	C2二		2013-1-15	18	園田	4	(馬齢)		6	300	2	6	140	2	8	290	6	2.0	100	1.0	6-8	3060	9	6-8	670	9	2-6	150	1	2-8	540	6	6=>8	4800	12	2-6-8	990	3	6=>8=>2	13990	37	10,6,2,7,(8,9),4,3,1,5	10,6,2,7,(8,9),4,3,1,5	(6,10),2,(7,9),8,4,3,5,1	6,10,2,8,9,7,3,4,5-1			6-7	970.0	4.0
201350011507	ダ	右	1400	晴	不良	14:10	C2一		2013-1-15	18	園田	4	(馬齢)		1	140	1	1	110	1	5	470	6	2.0	190	3.0	1-5	2480	8	1-5	1,270	16	1-2	210	1	2-5	2,590	24	1=>5	5110	16	1-2-5	3260	12	1=>5=>2	18530	55	2,4,8,5,(6,9),(7,10),3,1	2,4,8,5,6,9,(3,7),10,1	12489510673	1,2,5,4,6,8,(7,9),10,3			1-5	2500.0	9.0
201350011601	ダ	右	1400	晴	重	11:10	C3三		2013-1-16	18	園田	5	(馬齢)		8	320	1	8	150	3	7	100	1	4.0	300	7.0	7-8	600	1	7-8	240	1	4-8	830	14	4-7	790	13	8=>7	1800	5	4-7-8	2400	11	8=>7=>4	11630	42	6,8,10,4,1,5,2,9,(3,7)	6,8,4,10,1,(2,5),9,3,7	86417109235	84617109235			7-7	760.0	3.0
201350011602	ダ	右	1400	晴	重	11:40	C3二		2013-1-16	18	園田	5	(馬齢)		6	1200	6	6	270	4	7	450	6	10.0	260	3.0	6-7	4080	13	6-7	850	10	6-10	750	9	7-10	890	12	6=>7	7880	28	6-7-10	4890	17	6=>7=>10	66700	159	81024653791	81026453719	8,10,6,2,3,(5,7),4,1,9	8,10,6,3,(2,7),1,5,4,9			6-7	2820.0	11.0
201350011603	ダ	右	1400	晴	重	12:10	C3一		2013-1-16	18	園田	5	(馬齢)		3	130	1	3	100	1	7	610	7	2.0	180	3.0	3-7	2710	7	3-7	700	7	2-3	230	4	2-7	2,850	20	3=>7	5430	12	2-3-7	4740	12	3=>7=>2	14710	39	1,3,4,7,(9,10),2,6,8,5	1,3,(4,7),9,10,2,6,8,5	36417210985	34672181059			3-7	250.0	1.0
201350011604	ダ	右	1400	晴	重	12:40	C2二		2013-1-16	18	園田	5	(馬齢)		4	1310	7	4	440	6	7	160	4	6.0	150	2.0	4-7	4500	17	4-7	1,000	13	4-6	790	11	6-7	230	1	4=>7	12560	36	4-6-7	3290	14	4=>7=>6	42690	121	10438175926	10,3,4,1,8,(5,7),2,9,6	10,(3,4,7),1,6,8,(5,9),2	4,7,6,10,(1,3),8,(2,9),5			4-7	5190.0	18.0
201350011605	ダ	右	1400	晴	重	13:10	3歳C1		2013-1-16	18	園田	5	(馬齢)		1	210	1	1	130	1	5	210	5	9.0	350	8.0	1-5	450	1	1-5	200	1	1-9	620	9	5-9	600	7	1=>5	680	1	1-5-9	1600	4	1=>5=>9	4370	5	4581106119372	4581106931172	4,5,8,1,6,9,10,7,11,3=2	5,1,4,6,8,9,7,10-11,3=2			1-5	450.0	1.0
201350011606	ダ	右	1400	晴	重	13:40	C2一		2013-1-16	18	園田	5	(馬齢)		3	130	1	3	100	1	2	130	3	1.0	100	2.0	2-3	830	2	2-3	200	4	1-3	120	1	1-2	190	3	3=>2	1290	4	1-2-3	260	1	3=>2=>1	1740	5	83921106745	83291106745	(3,8),1,9,2,7,10,5,4,6	3,8,1,2,9,4,7,10,5-6			2-3	940.0	3.0
