	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201535051810	芝	左	1700	曇	良	17:10	アンタレス賞 		2015-5-18	2	盛岡	3	(定量)		9.0	170.0	1.0	9.0	110	1.0	6.0	130	2.0	6-9	310.0	1.0	6-9	160	1.0	8-9	600	8.0	6-8	490	7.0	9=>6	480.0	1.0	6-8-9	1360.0	4.0	9=>6=>8	3600.0	7.0	4,9,(5,11),2,7,(3,8,10),6,12,1	491152738106112.0	4,9,6,(11,7),2,5,8,(3,10),1,12	4,9,6,(2,11),7,(5,8),3,12,10,1			8.0	220.0	5.0	5-7	280.0	1.0
201535052301	ダ	左	1200	晴	良	11:30	C2十八組		2015-5-23	2	盛岡	4			3.0	150.0	1.0	3.0	130	1.0	5.0	140	2.0	3-5	210.0	1.0	3-5	110	1.0	3-6	290	6.0	5-6	370	7.0	3=>5	310.0	1.0	3-5-6	630.0	4.0	3=>5=>6	1180.0	4.0			351642.0	356124.0								
201535052302	ダ	左	1200	晴	良	12:05	C2十七組		2015-5-23	2	盛岡	4			3.0	180.0	1.0	3.0	120	2.0	5.0	120	1.0	3-5	200.0	1.0	3-5	100	1.0	1-3	120	3.0	1-5	120	2.0	3=>5	480.0	2.0	1-3-5	140.0	1.0	3=>5=>1	530.0	1.0			351642.0	351624.0								
201535052303	ダ	左	1200	晴	良	12:40	C2十六組		2015-5-23	2	盛岡	4			6.0	150.0	1.0	6.0	130	2.0	7.0	120	1.0	6-7	270.0	1.0	6-7	120	1.0	3-6	150	2.0	3-7	160	3.0	6=>7	390.0	1.0	3-6-7	310.0	1.0	6=>7=>3	810.0	1.0			(3,7),2,6,4,1,5	(3,7),6,4,2,1,5								
201535052304	ダ	左	1200	晴	良	13:15	C2十五組		2015-5-23	2	盛岡	4			7.0	140.0	1.0	7.0	120	1.0	5.0	350	4.0	5-7	700.0	3.0	5-7	150	3.0	6-7	100	1.0	5-6	130	2.0	7=>5	890.0	4.0	5-6-7	190.0	1.0	7=>5=>6	1080.0	3.0			4,(3,7),6,5,2,1	4765312								
201535052305	ダ	左	1200	晴	良	13:55	C2十四組		2015-5-23	2	盛岡	4			3.0	280.0	2.0	3.0	150	1.0	7.0	320	4.0	3-7	1090.0	5.0	3-7	180	4.0	3-5	120	1.0	5-7	200	5.0	3=>7	1600.0	6.0	3-5-7	290.0	2.0	3=>7=>5	2290.0	8.0			(2,7),(1,3),(5,6),4	(2,7,3),1,6,5,4								
201535052306	ダ	左	1400	晴	良	14:35	3歳C1二組		2015-5-23	2	盛岡	4			7.0	130.0	1.0	7.0	100	1.0	1.0	190	4.0	1-7	800.0	3.0	1-7	180	3.0	4-7	110	1.0	1-4	230	5.0	7=>1	860.0	3.0	1-4-7	310.0	2.0	7=>1=>4	1630.0	4.0			4,(5,7),1,8,3,6,2	(4,7),(1,5),(3,8),2,6			4.0	110.0	2.0			
201535052307	芝	左	1600	晴	良	15:15	盛岡市職員盛駿会会長		2015-5-23	2	盛岡	4	30万円以下		9.0	410.0	2.0	9.0	130	3.0	2.0	110	1.0	2-9	660.0	1.0	2-9	290	1.0	5-9	490	8.0	2-5	410	7.0	9=>2	1610.0	4.0	2-5-9	1180.0	3.0	9=>2=>5	7790.0	20.0			7,(8,5),3,2,1,6,(4,9)	5,(7,8),9,1,2,3,(4,6)			5.0	120.0	2.0	2-8	690.0	2.0
201535052308	ダ	左	1600	晴	良	15:55	ダンシングエンジェル		2015-5-23	2	盛岡	4			8.0	440.0	2.0	8.0	170	3.0	5.0	130	1.0	5-8	460.0	1.0	5-8	210	1.0	2-8	420	7.0	2-5	330	5.0	8=>5	1460.0	4.0	2-5-8	1250.0	4.0	8=>5=>2	7380.0	27.0			5,8,6,2,1,(3,7),4	(5,8),2,6,4,1,3,7			2.0	300.0	7.0			
201535052309	ダ	左	1600	晴	良	16:35	ダンスパーティー賞C		2015-5-23	2	盛岡	4			8.0	1240.0	4.0	8.0	290	6.0	7.0	120	2.0	7-8	1430.0	4.0	7-8	230	3.0	3-8	470	7.0	3-7	130	1.0	8=>7	4260.0	12.0	3-7-8	990.0	2.0	8=>7=>3	11450.0	41.0			9,8,(3,7),(1,6),5,4,2	9,8,(3,7),1,5,6,4,2			3.0	120.0	1.0	7-8	920.0	4.0
201535052310	ダ	左	1800	晴	良	17:10	あすなろ賞	G	2015-5-23	2	盛岡	4	(別定)		6.0	190.0	1.0	6.0	100	1.0	1.0	110	2.0	1-6	290.0	1.0	1-6	140	1.0	5-6	240	3.0	1-5	470	8.0	6=>1	460.0	1.0	1-5-6	660.0	3.0	6=>1=>5	1720.0	3.0	145768932	1,4,5,6,7,(3,8),9,2	1,5,(4,6),3,7,8,9,2	(5,6),1,9,3,(4,8),7,2			5.0	160.0	5.0	1-6	240.0	1.0
201535052501	ダ	左	1200	晴	良	11:30	3歳C2四組		2015-5-25	2	盛岡	6			9.0	280.0	1.0	9.0	160	2.0	4.0	270	5.0	4-9	710.0	3.0	4-9	310	3.0	5-9	910	13.0	4-5	910	13.0	9=>4	1240.0	3.0	4-5-9	4450.0	16.0	9=>4=>5	15590.0	46.0			48932576110	4,9,(3,8,5),2,6,7,10,1			5.0	320.0	6.0	4-8	550.0	2.0
201535052502	ダ	左	1200	晴	良	12:05	3歳C2三組		2015-5-25	2	盛岡	6			4.0	810.0	4.0	4.0	190	3.0	2.0	140	2.0	2-4	1180.0	6.0	2-4	350	5.0	4-6	530	8.0	2-6	650	9.0	4=>2	3360.0	12.0	2-4-6	2430.0	9.0	4=>2=>6	14910.0	52.0			46835217.0	46382571.0			6.0	220.0	4.0			
