	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199909010405	ダ	右	1200	雨	重	11:50	4歳新馬		1999-3-7	1	阪神	4	4歳新馬	(混)[指](馬齢)	4	880	3	4	160	3	2	110	1	11.0	330	7.0	2-4	580	2																							12.9 - 11.0 - 11.6 - 12.0 - 12.5 - 13.9	12.9 - 23.9 - 35.5 - 47.5 - 60.0 - 73.9 (12.9-12.9)	2-4	570.0	2.0
199909010406	ダ	右	1400	雨	重	12:50	4歳新馬		1999-3-7	1	阪神	4	4歳新馬	[指](馬齢)	9	120	1	9	100	1	7	140	2	4.0	160	4.0	7-8	260	1																							12.8 - 11.5 - 12.9 - 12.9 - 12.5 - 12.1 - 12.5	12.8 - 24.3 - 37.2 - 50.1 - 62.6 - 74.7 - 87.2 (12.8-12.8)	7-9	280.0	1.0
199909010407	ダ	右	1800	雨	重	13:20	4歳500万下		1999-3-7	1	阪神	4	4歳500万下	(市)(抽)(特指)(馬齢)	10	520	3	10	190	3	8	410	7	14.0	140	1.0	5-6	1850	7																							13.0 - 11.5 - 12.8 - 13.4 - 13.0 - 12.5 - 12.4 - 12.4 - 13.6	13.0 - 24.5 - 37.3 - 50.7 - 63.7 - 76.2 - 88.6 - 101.0 - 114.6 (13.0-13.0)	8-10	4900.0	20.0
199909010408	ダ	右	1800	雨	重	13:55	4歳以上500万下		1999-3-7	1	阪神	4	4歳以上500万下	[指](別定)	7	460	3	7	160	3	1	120	1	3.0	360	7.0	1-7	570	3																							12.7 - 11.6 - 12.7 - 12.8 - 12.6 - 12.9 - 12.4 - 12.2 - 13.0	12.7 - 24.3 - 37.0 - 49.8 - 62.4 - 75.3 - 87.7 - 99.9 - 112.9 (12.7-12.7)	1-7	570.0	3.0
199909010409	芝	右	1200	雨	稍重	14:30	雪割草特別 		1999-3-7	1	阪神	4	4歳500万下	(混)(特指)(馬齢)	13	190	1	13	110	1	6	130	2	12.0	310	6.0	4-8	230	1																							12.2 - 10.9 - 11.1 - 11.3 - 11.8 - 13.0	12.2 - 23.1 - 34.2 - 45.5 - 57.3 - 70.3 (12.2-12.2)	6-13	410.0	1.0
199909010410	芝	右	1400	雨	稍重	15:05	須磨特別 		1999-3-7	1	阪神	4	4歳以上900万下	(混)[指](別定)	12	370	1	12	190	2	8	500	9	1.0	320	6.0	5-7	1320	6																							12.4 - 11.2 - 11.7 - 11.8 - 11.7 - 11.7 - 12.8	12.4 - 23.6 - 35.3 - 47.1 - 58.8 - 70.5 - 83.3 (12.4-12.4)	8-12	3800.0	16.0
199909010411	芝	右	1600	雨	稍重	15:45	読売マイラーズカップ	G2	1999-3-7	1	阪神	4	4歳以上オープン	(混)[指](別定)	4	1270	7	4	330	7	8	210	4	13.0	160	1.0	3-5	2130	12																							12.5 - 11.2 - 11.7 - 11.8 - 11.6 - 11.9 - 11.9 - 13.0	12.5 - 23.7 - 35.4 - 47.2 - 58.8 - 70.7 - 82.6 - 95.6 (12.5-12.5)	4-8	4280.0	22.0
199909010412	ダ	右	1200	雨	重	16:20	4歳以上900万下		1999-3-7	1	阪神	4	4歳以上900万下	牝[指](別定)	5	270	1	5	130	1	2	180	3	7.0	780	7.0	2-5	650	2																							12.8 - 11.3 - 11.8 - 11.7 - 11.9 - 12.2	12.8 - 24.1 - 35.9 - 47.6 - 59.5 - 71.7 (12.8-12.8)	2-5	640.0	2.0
199909010501	ダ	右	1800	曇	良	10:05	4歳新馬		1999-3-13	1	阪神	5	4歳新馬	(混)[指](馬齢)	4	150	1	4	100	1	3	140	4	2.0	130	3.0	3-4	510	3																							13.2 - 11.7 - 13.7 - 13.6 - 13.3 - 13.0 - 12.7 - 12.3 - 12.4	13.2 - 24.9 - 38.6 - 52.2 - 65.5 - 78.5 - 91.2 - 103.5 - 115.9 (13.2-13.2)	3-4	500.0	3.0
199909010502	ダ	右	1800	曇	良	10:30	4歳未勝利		1999-3-13	1	阪神	5	4歳未勝利	牝[指](馬齢)	7	520	3	7	180	2	13	240	4	15.0	160	1.0	4-7	1180	5																							12.7 - 11.1 - 13.2 - 13.7 - 13.3 - 13.1 - 13.1 - 13.2 - 13.4	12.7 - 23.8 - 37.0 - 50.7 - 64.0 - 77.1 - 90.2 - 103.4 - 116.8 (12.7-12.7)	7-13	2590.0	10.0
199909010503	ダ	右	1200	曇	良	10:55	4歳未勝利		1999-3-13	1	阪神	5	4歳未勝利	[指](馬齢)	9	210	2	9	100	1	10	140	3	16.0	100	2.0	5-5	590	2																							12.6 - 11.9 - 12.2 - 12.3 - 12.1 - 13.4	12.6 - 24.5 - 36.7 - 49.0 - 61.1 - 74.5 (12.6-12.6)	9-10	620.0	2.0
199909010504	ダ	右	1200	曇	良	11:25	4歳新馬		1999-3-13	1	阪神	5	4歳新馬	[指](馬齢)	8	10150	11	8	1,880	13	2	130	1	12.0	1,030	8.0	2-6	4410	12																							13.0 - 11.1 - 11.8 - 12.3 - 12.7 - 13.3	13.0 - 24.1 - 35.9 - 48.2 - 60.9 - 74.2 (13.0-13.0)	2-8	11410.0	23.0
199909010505	障		3000	曇	良  ダート	11:55	障害4歳以上未勝利		1999-3-13	1	阪神	5	障害4歳以上未勝利	(定量)	11	330	2	11	170	4	6	140	2	8.0	140	1.0	6-8	790	3																									6-11	930.0	4.0
