	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198703010502	芝	右	1700	晴	稍重	10:50	4歳未勝利		1987-7-4	1	福島	5	4歳未勝利	(父)(馬齢)	1	190	1	1	110	2	2	260	6	9.0	110.0	1.0	1-2	1850	8																							7.0 - 10.9 - 12.0 - 12.4 - 12.0 - 12.0 - 12.6 - 12.9 - 12.4	7.0 - 17.9 - 29.9 - 42.3 - 54.3 - 66.3 - 78.9 - 91.8 - 104.2 (7.0-7.0)
198703010503	芝	右	1800	晴	稍重	11:20	4歳未勝利		1987-7-4	1	福島	5	4歳未勝利	(馬齢)	3	610	2	3	160	2	1	320	6	11.0	220.0	3.0	1-3	2870	10																							12.9 - 11.1 - 12.7 - 12.7 - 12.3 - 11.9 - 12.4 - 12.6 - 12.8	12.9 - 24.0 - 36.7 - 49.4 - 61.7 - 73.6 - 86.0 - 98.6 - 111.4 (12.9-12.9)
198703010504	芝	右	1700	晴	稍重	11:50	4歳未勝利		1987-7-4	1	福島	5	4歳未勝利	(馬齢)	13	130	1	13	100	1	14	420	9	12.0	160.0	2.0	8-8	1420	6																							7.1 - 10.7 - 12.2 - 11.9 - 12.3 - 12.2 - 12.2 - 12.4 - 13.1	7.1 - 17.8 - 30.0 - 41.9 - 54.2 - 66.4 - 78.6 - 91.0 - 104.1 (7.1-7.1)
198703010505	ダ	右	1000	晴	重	12:50	4歳未勝利		1987-7-4	1	福島	5	4歳未勝利	(馬齢)	12	460	4	12	140	4	11	140	2	9.0	110.0	1.0	8-8	1090	5																							12.4 - 10.9 - 11.4 - 12.3 - 12.9	12.4 - 23.3 - 34.7 - 47.0 - 59.9 (12.4-12.4)
198703010506	芝	右	1700	晴	良	13:25	4歳以上400万下		1987-7-4	1	福島	5	4歳以上400万下	(馬齢)	3	7280	11	3	790	11	1	140	2	8.0	310.0	5.0	1-3	4240	13																							6.9 - 10.8 - 12.0 - 12.2 - 12.0 - 12.2 - 12.2 - 12.5 - 12.9	6.9 - 17.7 - 29.7 - 41.9 - 53.9 - 66.1 - 78.3 - 90.8 - 103.7 (6.9-6.9)
198703010507	芝	右	1700	晴	良	14:00	4歳以上400万下		1987-7-4	1	福島	5	4歳以上400万下	(馬齢)	2	360	2	2	160	2	4	390	7	6.0	190.0	3.0	2-4	2730	14																							6.9 - 10.8 - 12.7 - 12.4 - 12.2 - 11.8 - 12.2 - 11.9 - 12.3	6.9 - 17.7 - 30.4 - 42.8 - 55.0 - 66.8 - 79.0 - 90.9 - 103.2 (6.9-6.9)
198703010508	芝	右	2000	晴	良	14:35	アマリリス賞 		1987-7-4	1	福島	5	4歳400万下	(混)(別定)	9	670	4	9	240	3	11	250	4	5.0	600.0	9.0	6-7	1450	6																							12.2 - 10.5 - 11.0 - 12.9 - 13.5 - 12.2 - 12.2 - 12.9 - 12.7 - 12.7	12.2 - 22.7 - 33.7 - 46.6 - 60.1 - 72.3 - 84.5 - 97.4 - 110.1 - 122.8 (12.2-12.2)
198703010509	ダ	右	1700	晴	稍重	15:10	猪苗代特別 		1987-7-4	1	福島	5	4歳以上900万下	(別定)	2	1220	6	2	350	7	9	460	8	6.0	310.0	5.0	2-7	2470	11																							6.6 - 11.5 - 11.3 - 12.0 - 12.4 - 12.3 - 12.2 - 13.1 - 13.7	6.6 - 18.1 - 29.4 - 41.4 - 53.8 - 66.1 - 78.3 - 91.4 - 105.1 (6.6-6.6)
198703010510	芝	右	1700	晴	良	15:45	福島商工会議所創立7 		1987-7-4	1	福島	5	4歳以上1400万下	(混)(ハンデ)	9	740	3	9	220	2	4	400	6	12.0	620.0	12.0	3-6	620	1																							6.9 - 10.8 - 11.9 - 11.9 - 11.7 - 11.7 - 12.1 - 12.1 - 12.5	6.9 - 17.7 - 29.6 - 41.5 - 53.2 - 64.9 - 77.0 - 89.1 - 101.6 (6.9-6.9)
198703010601	芝	右	2000	曇	稍重	10:00	4歳未勝利		1987-7-5	1	福島	6	4歳未勝利	(馬齢)	1	700	3	1	280	3	8	290	5	9.0	580.0	8.0	1-8	2780	13																							12.6 - 11.2 - 11.2 - 12.9 - 12.7 - 12.6 - 11.9 - 12.4 - 12.3 - 12.7	12.6 - 23.8 - 35.0 - 47.9 - 60.6 - 73.2 - 85.1 - 97.5 - 109.8 - 122.5 (12.6-12.6)
