	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200007010309	芝	左	1700	曇	良	14:25	寒狭川特別 		2000-3-11	1	中京	3	4歳以上500万下	(混)(別定)	3	350	1	3	170	2	7	320	5	4.0	340	6.0	3-5	1180	4	3-7	1650.0	5.0	3-7	660	4.0	3-4	1,160	14.0	4-7	1,850	27.0					6.9 - 11.7 - 12.1 - 12.5 - 12.3 - 12.0 - 11.7 - 11.9 - 11.8	6.9 - 18.6 - 30.7 - 43.2 - 55.5 - 67.5 - 79.2 - 91.1 - 102.9 (6.9-6.9)									
200007010311	ダ	左	1700	曇	良	15:35	瀬戸特別 		2000-3-11	1	中京	3	4歳以上900万下	(混)(別定)	10	260	1	10	140	1	6	220	4	4.0	1,090	10.0	5-7	560	1	6-10	940.0	2.0	6-10	450	2.0	4-10	1,900	29.0	4-6	3,320	33.0					7.1 - 11.0 - 11.8 - 13.2 - 13.0 - 12.4 - 13.0 - 12.7 - 12.8	7.1 - 18.1 - 29.9 - 43.1 - 56.1 - 68.5 - 81.5 - 94.2 - 107.0 (7.1-7.1)									
200007010401	ダ	左	1000	曇	良	09:50	4歳未勝利		2000-3-12	1	中京	4	4歳未勝利	[指](馬齢)	6	1780	5	6	370	5	9	150	3	4.0	100	1.0	6-8	3980	10	6-9	4630.0	12.0	6-9	1,070	11.0	4-6	530	6.0	4-9	270	2.0					12.9 - 11.2 - 12.2 - 12.4 - 12.3	12.9 - 24.1 - 36.3 - 48.7 - 61.0 (12.9-12.9)									
200007010402	ダ	左	1700	曇	良	10:15	4歳未勝利		2000-3-12	1	中京	4	4歳未勝利	[指](馬齢)	9	400	2	9	110	2	8	100	1	10.0	120	3.0	7-8	180	1	8-9	440.0	2.0	8-9	190	2.0	9-10	300	4.0	8-10	180	1.0					7.2 - 11.1 - 12.4 - 14.2 - 13.5 - 13.3 - 13.1 - 12.7 - 12.9	7.2 - 18.3 - 30.7 - 44.9 - 58.4 - 71.7 - 84.8 - 97.5 - 110.4 (7.2-7.2)									
200007010403	芝	左	1200	曇	良	10:40	4歳未出走		2000-3-12	1	中京	4	4歳未出走	(混)[指](馬齢)	2	680	4	2	210	3	6	300	6	5.0	120	1.0	2-5	760	4	2-6	3340.0	12.0	2-6	900	10.0	2-5	410	3.0	5-6	530	4.0					12.3 - 10.6 - 11.5 - 12.0 - 12.1 - 12.0	12.3 - 22.9 - 34.4 - 46.4 - 58.5 - 70.5 (12.3-12.3)									
200007010404	芝	左	1700	曇	良	11:10	4歳未勝利		2000-3-12	1	中京	4	4歳未勝利	(混)[指](馬齢)	1	2290	10	1	470	9	14	140	1	7.0	320	6.0	1-8	4510	13	1-14	5170.0	20.0	1-14	1,770	22.0	1-7	3,350	42.0	7-14	580	4.0					7.0 - 11.2 - 11.6 - 12.3 - 12.2 - 12.1 - 12.7 - 12.8 - 12.3	7.0 - 18.2 - 29.8 - 42.1 - 54.3 - 66.4 - 79.1 - 91.9 - 104.2 (7.0-7.0)									
200007010405	ダ	左	1600	曇	良	11:40	4歳以上500万下		2000-3-12	1	中京	4	4歳以上500万下	牝[指](別定)	12	220	1	12	130	1	11	180	3	9.0	320	5.0	8-8	620	3	11-12	580.0	1.0	11-12	310	2.0	9-12	810	8.0	9-11	1,210	15.0					12.8 - 11.5 - 12.6 - 12.4 - 12.7 - 13.7 - 13.4 - 13.0	12.8 - 24.3 - 36.9 - 49.3 - 62.0 - 75.7 - 89.1 - 102.1 (12.8-12.8)									
200007010406	ダ	左	1000	晴	良	12:40	4歳以上500万下		2000-3-12	1	中京	4	4歳以上500万下	(混)[指](別定)	6	390	2	6	130	1	11	430	6	7.0	180	3.0	6-8	290	1	6-11	3490.0	12.0	6-11	1,120	12.0	6-7	340	2.0	7-11	1,180	13.0					12.5 - 11.1 - 12.1 - 12.1 - 12.0	12.5 - 23.6 - 35.7 - 47.8 - 59.8 (12.5-12.5)									
200007010407	ダ	左	1000	晴	良	13:10	4歳以上500万下		2000-3-12	1	中京	4	4歳以上500万下	[指](別定)	6	6630	10	6	770	9	4	240	3	7.0	420	5.0	3-4	1480	7	4-6	18590.0	35.0	4-6	4,310	35.0	6-7	4,710	37.0	4-7	1,670	21.0					12.3 - 10.7 - 12.1 - 12.6 - 13.0	12.3 - 23.0 - 35.1 - 47.7 - 60.7 (12.3-12.3)									
200007010408	ダ	左	1700	晴	良	13:40	4歳以上500万下		2000-3-12	1	中京	4	4歳以上500万下	[指](別定)	13	820	4	13	260	5	15	240	4	2.0	210	3.0	7-8	1710	9	13-15	3620.0	19.0	13-15	1,500	21.0	2-13	740	7.0	2-15	1,230	15.0					7.0 - 11.3 - 12.2 - 13.5 - 13.0 - 12.7 - 13.3 - 13.1 - 13.0	7.0 - 18.3 - 30.5 - 44.0 - 57.0 - 69.7 - 83.0 - 96.1 - 109.1 (7.0-7.0)									
