	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200008010407	ダ	右	1800	曇	良	13:20	4歳以上500万下		2000-1-9	1	京都	4	4歳以上500万下	(混)[指](別定)	14	1270	3	14	310	3	5	480	5	9.0	680	7.0	3-7	4160	13	5-14	9400.0	22.0	5-14	2,170	21.0	9-14	3,040	29.0	5-9	4,460	40.0					12.5 - 11.4 - 13.7 - 13.5 - 13.2 - 13.1 - 12.9 - 12.5 - 12.3	12.5 - 23.9 - 37.6 - 51.1 - 64.3 - 77.4 - 90.3 - 102.8 - 115.1 (12.5-12.5)									
200008010408	ダ	右	1200	曇	良	13:50	4歳以上500万下		2000-1-9	1	京都	4	4歳以上500万下	牝[指](別定)	14	320	2	14	150	2	8	120	1	9.0	270	5.0	4-7	320	1	8-14	430.0	1.0	8-14	250	1.0	9-14	790	9.0	8-9	580	6.0					12.5 - 11.0 - 11.8 - 12.4 - 12.5 - 12.8	12.5 - 23.5 - 35.3 - 47.7 - 60.2 - 73.0 (12.5-12.5)									
200008010409	芝	右	1800	曇	良	14:25	初夢賞 		2000-1-9	1	京都	4	4歳以上900万下	(混)[指](別定)	6	210	1	6	130	1	1	460	8	3.0	2,980	15.0	1-3	1370	5	1-6	2530.0	8.0	1-6	1,080	10.0	3-6	4,830	54.0	1-3	13,790	81.0					12.4 - 11.8 - 11.9 - 12.3 - 12.0 - 12.2 - 11.5 - 11.8 - 11.8	12.4 - 24.2 - 36.1 - 48.4 - 60.4 - 72.6 - 84.1 - 95.9 - 107.7 (12.4-12.4)									
200008010410	芝	右	3000	曇	良	15:00	万葉ステークス 		2000-1-9	1	京都	4	4歳以上オープン	(混)[指](別定)	10	110	1	10	110	1	3	370	8	5.0	390	9.0	3-8	1220	7	3-10	1210.0	8.0	3-10	580	7.0	5-10	690	8.0	3-5	2,900	37.0					13.8 - 12.7 - 13.0 - 13.8 - 13.2 - 13.0 - 13.7 - 13.8 - 13.7 - 13.5 - 12.7 - 11.8 - 11.3 - 11.5 - 11.8	13.8 - 26.5 - 39.5 - 53.3 - 66.5 - 79.5 - 93.2 - 107.0 - 120.7 - 134.2 - 146.9 - 158.7 - 170.0 - 181.5 - 193.3 (13.8-13.8)									
200008010411	芝	右	1600	曇	良	15:40	日刊スポシンザン記念	G3	2000-1-9	1	京都	4	4歳オープン	(混)(特指)(別定)	7	200	1	7	130	1	12	540	8	5.0	290	5.0	4-7	1580	6	7-12	2200.0	8.0	7-12	830	10.0	5-7	630	5.0	5-12	2,540	32.0					12.6 - 11.3 - 12.1 - 11.9 - 12.0 - 11.6 - 11.9 - 12.0	12.6 - 23.9 - 36.0 - 47.9 - 59.9 - 71.5 - 83.4 - 95.4 (12.6-12.6)									
200008010501	ダ	右	1800	晴	重	10:05	4歳未勝利		2000-1-15	1	京都	5	4歳未勝利	(父)[指](馬齢)	3	330	1	3	150	1	9	160	3	12.0	310	7.0	3-6	1070	5	3-9	1070.0	4.0	3-9	440	5.0	3-12	870	11.0	9-12	1,030	17.0					12.5 - 11.7 - 12.8 - 13.3 - 13.3 - 12.7 - 12.3 - 12.4 - 12.8	12.5 - 24.2 - 37.0 - 50.3 - 63.6 - 76.3 - 88.6 - 101.0 - 113.8 (12.5-12.5)									
200008010502	ダ	右	1400	晴	重	10:30	4歳未勝利		2000-1-15	1	京都	5	4歳未勝利	(混)[指](馬齢)	8	130	1	8	110	1	10	740	8	15.0	560	7.0	5-6	1840	7	8-10	3360.0	10.0	8-10	1,330	13.0	8-15	740	8.0	10-15	7,380	48.0					12.7 - 11.3 - 11.7 - 12.2 - 12.6 - 13.0 - 12.5	12.7 - 24.0 - 35.7 - 47.9 - 60.5 - 73.5 - 86.0 (12.7-12.7)									
200008010503	ダ	右	1200	晴	重	10:55	4歳新馬		2000-1-15	1	京都	5	4歳新馬	[指](馬齢)	6	670	3	6	170	3	12	1,340	10	1.0	110	1.0	5-8	3970	12	6-12	33140.0	36.0	6-12	3,420	33.0	1-6	270	2.0	1-12	1,750	21.0					12.8 - 11.0 - 11.7 - 12.3 - 13.0 - 12.9	12.8 - 23.8 - 35.5 - 47.8 - 60.8 - 73.7 (12.8-12.8)									
200008010504	ダ	右	1800	晴	重	11:20	4歳500万下		2000-1-15	1	京都	5	4歳500万下	(特指)(馬齢)	7	300	2	7	160	2	10	660	7	6.0	210	3.0	6-7	1140	5	7-10	6700.0	19.0	7-10	1,680	20.0	6-7	450	4.0	6-10	2,400	27.0					12.0 - 12.2 - 13.2 - 12.7 - 12.9 - 12.4 - 13.0 - 12.7 - 12.5	12.0 - 24.2 - 37.4 - 50.1 - 63.0 - 75.4 - 88.4 - 101.1 - 113.6 (12.0-12.0)									
200008010505	障		2910	晴	良  ダート	11:50	障害4歳以上未勝利		2000-1-15	1	京都	5	障害4歳以上未勝利	(馬齢)	1	430	3	1	150	2	3	210	4	12.0	120	1.0	1-3	1350	6	1-3	1410.0	5.0	1-3	480	5.0	1-12	320	1.0	3-12	470	4.0															
