	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202030042308	ダ	右	1700	曇	稍重	19:30	サッポロGOLDST 		2020-4-23	1	門別	4	(別定)		1.0	310.0	2.0	1.0	180	3.0	5.0	140	1.0				1-5	350.0	2.0	1-5	160	3.0	1-2	150	2.0	2-5	130	1.0	1=>5	800.0	4.0	1-2-5	260.0	1.0	1=>5=>2	1360.0	4.0	1,(3,5),2,4	1,(3,5),2,4	1,(3,5),2,4	1,2,5-4,3					
202030042309	ダ	右	1200	雪	稍重	20:05	カタクリ特別 		2020-4-23	1	門別	4	(別定)		7.0	230.0	1.0	7.0	120	1.0	10.0	140	2.0	9.0	180.0	4.0	7-10	670.0	1.0	7-10	270	1.0	7-9	360	3.0	9-10	700	10.0	7=>10	1170.0	1.0	7-9-10	1740.0	3.0	7=>10=>9	6750.0	8.0			2,(8,9),12,(5,7),10,(1,11),4,6,3	(2,9),(7,12),10,(5,8),(1,4,11),6,3			6-7	310.0	1.0
202030042310	ダ	右	1800	曇	稍重	20:40	コスモバルク記念〔H	G	2020-4-23	1	門別	4	(別定)		1.0	840.0	4.0	1.0	290	5.0	3.0	230	4.0	2.0	660.0	7.0	1-3	2810.0	10.0	1-3	910	10.0	1-2	2,300	19.0	2-3	3,190	25.0	1=>3	6140.0	20.0	1-2-3	15250.0	38.0	1=>3=>2	84610.0	179.0	679182435	679184235	(6,7),(8,3),1,9,4,2,5	7,3,(1,8),(6,2),9,4-5			1-3	3340.0	10.0
202030042801	ダ	右	1000	雨	稍重	15:05	3歳条件未勝利		2020-4-28	2	門別	1	(馬齢)		6.0	7540.0	8.0	6.0	1,580	8.0	5.0	350	5.0	1.0	580.0	7.0	5-6	26150.0	30.0	5-6	6,480	28.0	1-6	3,450	26.0	1-5	3,120	23.0	6=>5	35900.0	53.0	1-5-6	111300.0	76.0	6=>5=>1	477710.0	398.0			6,(5,7),(3,9),4,2,1,8	6,(5,7),4,3,1,9,2-8			5-6	14590.0	25.0
202030042802	ダ	右	1000	曇	稍重	15:35	3歳以上C4ー6		2020-4-28	2	門別	1	(馬齢)		10.0	390.0	2.0	10.0	180	4.0	3.0	160	2.0	8.0	140.0	1.0	3-10	750.0	3.0	3-10	230	2.0	8-10	200	1.0	3-8	250	3.0	10=>3	1330.0	5.0	3-8-10	280.0	1.0	10=>3=>8	2240.0	5.0			8,(3,10),11,2,(1,12),4,5,(9,7),6	(8,10),3,11,2,12,(1,4),5,6,9,7			3-7	810.0	3.0
202030042803	ダ	右	1700	曇	稍重	16:05	3歳条件4ー2		2020-4-28	2	門別	1	(馬齢)		1.0	290.0	2.0	1.0	150	2.0	3.0	190	3.0				1-3	690.0	4.0	1-3	270	6.0	1-7	140	1.0	3-7	210	4.0	1=>3	1060.0	6.0	1-3-7	270.0	1.0	1=>3=>7	1930.0	7.0	(4,6,7),1,3,2	764132	7,6,(4,1),3,2	(7,6,1),3,(4,2)					
202030042804	ダ	右	1200	曇	稍重	16:40	3歳以上C4ー3		2020-4-28	2	門別	1	(馬齢)		4.0	270.0	1.0	4.0	140	2.0	7.0	240	6.0	5.0	160.0	3.0	4-7	2100.0	12.0	4-7	520	9.0	4-5	230	1.0	5-7	520	8.0	4=>7	2380.0	11.0	4-5-7	1910.0	9.0	4=>7=>5	8440.0	24.0			2,(1,7),8,4,(3,6),5	2,7,1,(4,8),3,5,6					
202030042805	ダ	右	1000	曇	稍重	17:10	JRA認定フレッシュ		2020-4-28	2	門別	1	(馬齢)		1.0	200.0	1.0	1.0	100	1.0	8.0	120	2.0	4.0	230.0	6.0	1-8	290.0	1.0	1-8	170	1.0	1-4	460	7.0	4-8	330	5.0	1=>8	600.0	1.0	1-4-8	1420.0	5.0	1=>8=>4	4650.0	15.0			1,8,5,4-2,3,7,6	1,8,5-4-2,3,7,6					
202030042806	ダ	右	1600	曇	稍重	17:40	稲苗月特別 		2020-4-28	2	門別	1	(別定)		1.0	240.0	1.0	1.0	130	1.0	3.0	130	2.0				1-3	260.0	1.0	1-3	140	1.0	1-2	140	3.0	2-3	140	2.0	1=>3	420.0	1.0	1-2-3	190.0	1.0	1=>3=>2	880.0	1.0	45123	4,5,(1,2),3	(5,1),4,2,3	(1,2),3,5,4					
202030042807	ダ	右	1200	曇	稍重	18:15	3歳以上C4ー2		2020-4-28	2	門別	1	(馬齢)		4.0	130.0	1.0	4.0	100	1.0	7.0	110	2.0				4-7	120.0	1.0	4-7	110	1.0	2-4	200	3.0	2-7	200	4.0	4=>7	180.0	1.0	2-4-7	160.0	1.0	4=>7=>2	380.0	1.0			(4,7),(1,3),2,5	4,7-1,3,(2,5)					
202030042809	ダ	右	1200	曇	稍重	19:25	ウメ特別 		2020-4-28	2	門別	1	(馬齢)		5.0	350.0	2.0	5.0	120	1.0	6.0	230	5.0	7.0	140.0	3.0	5-6	2000.0	8.0	5-6	660	8.0	5-7	320	3.0	6-7	900	10.0	5=>6	3010.0	12.0	5-6-7	2180.0	7.0	5=>6=>7	11700.0	40.0			5,2,6,(1,8),(4,7),9-3	5,6,(2,8),1,7,4,9,3			5-6	1910.0	8.0
202030042810	ダ	右	1200	曇	稍重	20:00	エゾエンゴサク特別 		2020-4-28	2	門別	1	(馬齢)		1.0	170.0	1.0	1.0	110	1.0	6.0	180	4.0	5.0	150.0	2.0	1-6	720.0	3.0	1-6	320	4.0	1-5	250	1.0	5-6	610	9.0	1=>6	1090.0	3.0	1-5-6	980.0	2.0	1=>6=>5	3690.0	7.0			1,8,(3,2,7),5,6,4	1,(2,8,7),3,6,5,4					
202030042811	ダ	右	1700	曇	稍重	20:35	レンギョウ特別 		2020-4-28	2	門別	1	(馬齢)		3.0	380.0	2.0	3.0	160	1.0	4.0	280	6.0	2.0	170.0	3.0	3-4	2420.0	12.0	3-4	930	13.0	2-3	340	1.0	2-4	740	9.0	3=>4	3080.0	14.0	2-3-4	2440.0	5.0	3=>4=>2	16370.0	47.0	3,4,9,8,1,6,7,(2,5),10	3,4,9,8,(1,6),7,(5,10),2	3,4,(8,9),(1,6),(2,5,7),10	3,4,6,9,7,8,(1,5),(2,10)			3-4	2130.0	10.0
202030042901	ダ	右	1200	曇	不良	14:30	3歳条件未勝利		2020-4-29	2	門別	2	(馬齢)		7.0	230.0	1.0	7.0	120	1.0	1.0	120	3.0	6.0	140.0	4.0	1-7	520.0	3.0	1-7	230	2.0	6-7	320	5.0	1-6	310	4.0	7=>1	830.0	3.0	1-6-7	800.0	2.0	7=>1=>6	3530.0	9.0			6,7,(2,8),1,(4,3),5	(6,7),(2,8),1,4,(3,5)					
202030042902	ダ	右	1000	曇	不良	15:05	3歳条件4ー2		2020-4-29	2	門別	2	(馬齢)		5.0	140.0	1.0	5.0	110	1.0	4.0	170	3.0				4-5	320.0	2.0	4-5	120	2.0	5-7	110	1.0	4-7	150	3.0	5=>4	450.0	2.0	4-5-7	160.0	1.0	5=>4=>7	640.0	2.0			(3,5),(4,7),2,1	5,7,(3,4),2,1					
202030042903	ダ	右	1000	曇	不良	15:35	3歳以上C4ー5		2020-4-29	2	門別	2	(馬齢)		6.0	230.0	1.0	6.0	130	1.0	4.0	150	3.0				4-6	510.0	2.0	4-6	180	1.0	2-6	210	2.0	2-4	230	5.0	6=>4	850.0	2.0	2-4-6	490.0	1.0	6=>4=>2	2290.0	2.0			3,4,6,(1,5),7,2	(3,4),6,(1,2),5,7					
202030042904	ダ	右	1000	曇	不良	16:05	3歳以上C4ー5		2020-4-29	2	門別	2	(馬齢)		8.0	160.0	1.0	8.0	110	1.0	4.0	140	3.0	5.0	210.0	5.0	4-8	330.0	1.0	4-8	200	1.0	5-8	350	5.0	4-5	560	8.0	8=>4	390.0	1.0	4-5-8	830.0	4.0	8=>4=>5	1750.0	4.0			8,7,(2,6),5,4-1,3	8,7,(2,6,5),4-(1,3)					
