	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202035051911	ダ	左	1600	雨	不良	17:00	B2四組		2020-5-19	1	盛岡	3			3.0	2120.0	8.0	3.0	420	6.0	4.0	270.0	5.0	11.0	500	7.0	3-4	4270.0	18.0	3-4	1,260	16.0	3-11	2,350	27.0	4-11	1,410	20.0	3=>4	14090.0	46.0	3-4-11	12720.0	44.0	3=>4=>11	108850.0	334.0			3106487119512	3,4,8,6,11,9,(1,5),(10,2),7			3-4	2440.0	11.0
202035051912	ダ	左	1800	雨	不良	17:35	復興祈念夢あふれる未		2020-5-19	1	盛岡	3			3.0	380.0	1.0	3.0	170	2.0	2.0	260.0	4.0	10.0	290	6.0	2-3	1400.0	3.0	2-3	560	3.0	3-10	710	6.0	2-10	1,250	16.0	3=>2	3380.0	6.0	2-3-10	3810.0	6.0	3=>2=>10	21300.0	33.0	141011853769122	141081135769212.0	110311457869212	(1,10),3,7,8,(11,9),6,2,12,5,4			2-3	1540.0	5.0
202035052401	ダ	左	1400	晴	稍重	11:50	3歳C1一組		2020-5-24	1	盛岡	4			11.0	240.0	1.0	11.0	180	3.0	7.0	210.0	4.0	9.0	650	6.0	7-11	740.0	5.0	7-11	280	3.0	9-11	1,610	12.0	7-9	2,400	14.0	11=>7	1050.0	3.0	7-9-11	8900.0	20.0	11=>7=>9	28930.0	74.0			(3,4),11,5,9,(1,8),7,10,6,2	3,(4,11),9,7,5,8,10,6,1,2			6-8	350.0	2.0
202035052402	ダ	左	1200	晴	稍重	12:25	C2十五組		2020-5-24	1	盛岡	4			8.0	1230.0	5.0	8.0	230	6.0	7.0	100.0	1.0	1.0	140	2.0	7-8	560.0	3.0	7-8	360	5.0	1-8	820	13.0	1-7	250	2.0	8=>7	2870.0	10.0	1-7-8	1690.0	9.0	8=>7=>1	16580.0	60.0			897163254.0	879123654.0			7-8	560.0	2.0
202035052403	ダ	左	1000	晴	稍重	13:00	ファーストステップ2		2020-5-24	1	盛岡	4			5.0	150.0	1.0										4-5	280.0	2.0	4-5	140	3.0	1-5	130	2.0	1-4	230	6.0	5=>4	360.0	2.0	1-4-5	230.0	2.0	5=>4=>1	630.0	3.0			5421.0	5412.0					
202035052404	ダ	左	1200	晴	稍重	13:35	C2十四組		2020-5-24	1	盛岡	4			8.0	240.0	2.0	8.0	100	2.0	9.0	100.0	1.0	7.0	190	5.0	8-9	160.0	1.0	8-9	120	1.0	7-8	210	5.0	7-9	260	8.0	8=>9	370.0	3.0	7-8-9	300.0	1.0	8=>9=>7	1100.0	3.0			89310765	8,9,3,10,7-6,5			7-8	160.0	1.0
202035052405	ダ	左	1200	晴	稍重	14:10	C2十三組		2020-5-24	1	盛岡	4			2.0	220.0	1.0	2.0	120	1.0	3.0	220.0	6.0	8.0	150	2.0	2-3	1450.0	6.0	2-3	330	2.0	2-8	340	3.0	3-8	670	11.0	2=>3	2310.0	11.0	2-3-8	2580.0	12.0	2=>3=>8	14150.0	51.0			28103745169	2,8,(3,10),(4,7),5,1,6,9			2-3	1600.0	8.0
202035052406	ダ	左	1200	晴	稍重	14:45	C2十二組		2020-5-24	1	盛岡	4			9.0	150.0	1.0	9.0	130	2.0	8.0	410.0	5.0	6.0	450	6.0	8-9	2170.0	8.0	8-9	720	8.0	6-9	400	2.0	6-8	2,450	25.0	9=>8	2630.0	8.0	6-8-9	4410.0	15.0	9=>8=>6	12220.0	39.0			91086542731.0	91086542731.0			7-8	1170.0	5.0
202035052407	ダ	左	1200	晴	稍重	15:20	C2十一組		2020-5-24	1	盛岡	4			5.0	580.0	2.0	5.0	180	3.0	6.0	170.0	2.0	1.0	200	5.0	5-6	1200.0	3.0	5-6	340	1.0	1-5	730	12.0	1-6	580	11.0	5=>6	1850.0	2.0	1-5-6	2240.0	8.0	5=>6=>1	11620.0	29.0			13694510827.0	16539421087.0			5-6	840.0	2.0
202035052408	ダ	左	1600	晴	良	16:25	C2		2020-5-24	1	盛岡	4			10.0	240.0	1.0	10.0	110	1.0	6.0	150.0	2.0	1.0	450	7.0	6-10	610.0	1.0	6-10	280	1.0	1-10	1,240	16.0	1-6	960	11.0	10=>6	1210.0	3.0	1-6-10	6210.0	20.0	10=>6=>1	20910.0	60.0			(4,7),10,11,6,3,1,8,9,2,5	4101763118295			6-8	450.0	1.0
