	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201242020110	ダ	左	1500	曇	稍重	15:30	鴻巣びっくりひな祭り		2012-2-1	9	浦和	3			1	330	2	1	120	1	9	150	3	2.0	190.0	5.0	1-8	290.0	1.0	1-9	740	2	1-9	380	3	1-2	420	4	2-9	940	14	1=>8	480.0	1.0	1=>9	1470	4	1-2-9	2160	7	1=>9=>2	8480	27	97104215683	9,7,10,4,2,(5,1),6,8,3	91021765483	91102675384	6.9 - 11.6 - 12.6 - 13.2 - 13.6 - 12.5 - 13.4 - 13.4	6.9 - 18.5 - 31.1 - 44.3 - 57.9 - 70.4 - 83.8 - 97.2 (31.1-39.3)
201242020111	ダ	左	1600	曇	稍重	16:05	ニューイヤーカップ	G	2012-2-1	9	浦和	3	(定量)		8	200	1	8	120	1	10	160	3	3.0	210.0	5.0	7-8	440.0	1.0	8-10	570	2	8-10	270	2	3-8	480	5	3-10	730	11	7=>8	720.0	1.0	8=>10	890	1	3-8-10	1660	4	8=>10=>3	4590	6	3487610125911	3,4,8,7,(6,10),1,2,5,9,11	3,4,8,(7,10),1,2,9,5,11,6	3,8,10,2,1,11,7,5,4,9-6	12.4 - 11.5 - 12.4 - 14.0 - 14.0 - 13.4 - 13.1 - 13.6	12.4 - 23.9 - 36.3 - 50.3 - 64.3 - 77.7 - 90.8 - 104.4 (36.3-40.1)
201242020112	ダ	左	1400	曇	稍重	16:40	春告鳥特別 		2012-2-1	9	浦和	3			3	180	1	3	110	1	9	130	3	4.0	120.0	2.0	3-7	340.0	1.0	3-9	360	1	3-9	190	2	3-4	180	1	4-9	280	3	3=>7	480.0	1.0	3=>9	510	1	3-4-9	530	1	3=>9=>4	1540	1	569341112810127	5,6,9,(3,4,12),8,11,10,1,2,7	5,6,9,3,4,8,12,10,1,11-2,7	9,5,3,6,4,8,10,1,11,12,7-2	12.4 - 12.4 - 13.1 - 12.9 - 12.6 - 12.9 - 13.0	12.4 - 24.8 - 37.9 - 50.8 - 63.4 - 76.3 - 89.3 (37.9-38.5)
201242020201	ダ	左	1300	晴	良	10:40	4歳　選抜馬オ		2012-2-2	9	浦和	4			10	140	1	10	110	1	7	140	4	8.0	120.0	3.0	7-8	170.0	1.0	7-10	300	1	7-10	180	2	8-10	170	1	7-8	260	5	8=>7	320.0	1.0	10=>7	500	1	7-8-10	490	1	10=>7=>8	1530	1	78210931654	78210351946	7,(8,10),(2,5),9,4,6,3,1	7,10,8,2,6,9,4,5,3-1	6.6 - 12.5 - 14.1 - 13.9 - 12.9 - 14.1 - 12.9	6.6 - 19.1 - 33.2 - 47.1 - 60.0 - 74.1 - 87.0 (33.2-39.9)
201242020202	ダ	左	1400	晴	良	11:10	3歳		2012-2-2	9	浦和	4	43万円以上61万円未満		10	1920	5	10	270	5	3	120	1	8.0	170.0	3.0	3-8	510.0	2.0	3-10	910	4	3-10	380	4	8-10	1,130	14	3-8	250	2	8=>3	1670.0	5.0	10=>3	3090	10	3-8-10	2070	6	10=>3=>8	18240	58	3572109168	3527101968	3751092816	3751089261	12.4 - 12.2 - 13.0 - 13.7 - 13.1 - 14.5 - 14.5	12.4 - 24.6 - 37.6 - 51.3 - 64.4 - 78.9 - 93.4 (37.6-42.1)
201242020203	ダ	左	1400	晴	良	11:40	3歳		2012-2-2	9	浦和	4	61万円以上106万円未満		9	150	1	9	120	1	4	160	4	6.0	460.0	7.0	4-8	660.0	3.0	4-9	670	3	4-9	240	3	6-9	570	7	4-6	2,290	22	8=>4	800.0	3.0	9=>4	770	3	4-6-9	4040	15	9=>4=>6	11180	39	598176243	591872643	591862743	956412837	12.6 - 12.3 - 13.0 - 14.1 - 13.3 - 14.6 - 13.7	12.6 - 24.9 - 37.9 - 52.0 - 65.3 - 79.9 - 93.6 (37.9-41.6)
201242020204	ダ	左	1500	晴	良	12:10	C3四　五六		2012-2-2	9	浦和	4			10	370	2	10	160	3	8	410	7	9.0	120.0	1.0	6-7	900.0	4.0	8-10	3300	11	8-10	860	7	9-10	320	1	8-9	1,170	14	7=>6	1270.0	5.0	10=>8	6310	22	8-9-10	3760	9	10=>8=>9	24140	69	381212945101167	381212945107116	8,3,12,10,9,1,2,5,(4,7),11,6	812910521734116	7.5 - 11.7 - 12.5 - 13.4 - 13.8 - 13.5 - 13.9 - 13.7	7.5 - 19.2 - 31.7 - 45.1 - 58.9 - 72.4 - 86.3 - 100.0 (31.7-41.1)
201242020205	ダ	左	1500	晴	良	12:40	C3四　五六		2012-2-2	9	浦和	4			5	500	2	5	230	4	11	200	3	9.0	520.0	8.0	5-8	1340.0	6.0	5-11	2130	8	5-11	860	10	5-9	1,530	20	9-11	1,720	23	5=>8	2140.0	9.0	5=>11	2920	11	5-9-11	10610	36	5=>11=>9	46690	155	411531291021678	4,11,12,5,(3,9),10,2,1,6,8,7	411591012316287	511910364112872	7.7 - 11.4 - 12.6 - 13.6 - 13.8 - 13.4 - 13.7 - 13.4	7.7 - 19.1 - 31.7 - 45.3 - 59.1 - 72.5 - 86.2 - 99.6 (31.7-40.5)
201242020206	ダ	左	1500	晴	良	13:10	C3四　五六		2012-2-2	9	浦和	4			3	410	2	3	270	3	12	520	8	9.0	2,000	11.0	3-8	760.0	3.0	3-12	5390	22	3-12	2,530	26	3-9	8,010	51	9-12	10,570	56	3=>8	1750.0	8.0	3=>12	10340	39	3-9-12	126820	157	3=>12=>9	530540	740	165128271141093	161275284111093	161237528114910	3,6,12,1,(2,5),8,4,7,9,10,11	7.6 - 11.8 - 12.7 - 13.5 - 13.6 - 13.4 - 14.1 - 13.5	7.6 - 19.4 - 32.1 - 45.6 - 59.2 - 72.6 - 86.7 - 100.2 (32.1-41.0)
201242020207	ダ	左	1400	晴	良	13:45	C213　14		2012-2-2	9	浦和	4			4	490	2	4	160	2	8	110	1							4-8	310	1	4-8	170	1	2-4	520	10	2-8	380	5				4=>8	1120	4	2-4-8	1100	4	4=>8=>2	5480	19	6853421	6845231	6,8,4,2,(5,3),1	4862531	12.6 - 11.9 - 12.9 - 13.8 - 13.6 - 13.9 - 14.0	12.6 - 24.5 - 37.4 - 51.2 - 64.8 - 78.7 - 92.7 (37.4-41.5)
